"Year","FishingEntityID","TaxonKey","ObservedPrice","EndProduct","XRAT","PPP","PPP.XRAT","IDforPrice","MatchCode","IPrice","PriceUSD"
2013,7,590046,36307.3578622766,"DHC",1.03584313392639,1.4366472420599,138.693514008656,"2013:490020","FamTGN:Match",25272.284524222,35051.0194769092
2013,7,690049,30873.7372415314,"DHC",1.03584313392639,1.4366472420599,138.693514008656,"2013:490020","FamTGN:Match",21490.1308669649,29805.4176644524
2013,32,690420,691258.775536922,"DHC",29.7700004577637,15.9302610219023,53.5111211855824,"2013:490020","FamTGN:Match",43392.809106299,23219.9786667
2013,58,690420,24127.8691124142,"DHC",0.753159165382385,0.831681008660152,110.425663908359,"2013:490020","FamTGN:Match",29010.9655759538,32035.5513434724
2013,91,590046,6601987.31145874,"DHC",97.5956573486328,101.206940007414,103.700249331669,"2013:490020","FamTGN:Match",65232.555306732,67646.3224985003
2013,94,590046,78634778.5119655,"DHC",1094.85290527344,852.677184966715,77.8805244850458,"2013:490020","FamTGN:Match",92221.0420289773,71822.2312177419
2013,95,590046,78634778.5162593,"DHC",1094.85290527344,852.677184966715,77.8805244850458,"2013:490020","FamTGN:Match",92221.042034013,71822.2312216637
2013,110,590046,341654.965989957,"DHC",12.7719917297363,7.77219844884422,60.8534566362789,"2013:490020","FamTGN:Match",43958.6004190054,26750.3278438946
2013,123,590046,26568.6362520361,"DHC",1.21940791606903,1.4908802658213,122.262636331524,"2013:490020","FamTGN:Match",17820.7712994309,21788.1448052959
2013,165,690420,17491.56,"DHC",0.753159165382385,0.692747055657535,91.9788389358339,"2013:490020","FamTGN:Match",25249.5623866601,23224.254319629
2013,7,590083,40859.2526357064,"DHC",1.03584313392639,1.4366472420599,138.693514008656,"2013:690039","GenTGN:Match",28440.6995952057,39445.4056772364
2013,7,690039,40977.5453947725,"DHC",1.03584313392639,1.4366472420599,138.693514008656,"2013:690039","GenTGN:Match",28523.0390558631,39559.6051686379
2013,25,590083,5928480.46875,"DHC",494.0400390625,242.987471676337,49.1837609229881,"2013:690039","GenTGN:Match",24398.2968662962,12000
2013,31,690228,116692.121309615,"DHC",6.19575834274292,3.77400798691028,60.912769319526,"2013:690039","GenTGN:Match",30919.9455100118,18834.1950822366
2013,35,690071,2897452.69739938,"DHC",1868.78527832031,1169.39080523243,62.5749153098795,"2013:690039","GenTGN:Match",2477.74540763853,1550.44709042424
2013,35,690619,13146756.1276291,"DHC",1868.78527832031,1169.39080523243,62.5749153098795,"2013:690039","GenTGN:Match",11242.3973822986,7034.92064077345
2013,41,690071,6024723.05604531,"DHC",499.766845703125,398.15165181594,79.6674799937515,"2013:690039","GenTGN:Match",15131.7294015157,12055.0674936612
2013,41,690619,5639126.08091799,"DHC",499.766845703125,398.15165181594,79.6674799937515,"2013:690039","GenTGN:Match",14163.2618003677,11283.5137612706
2013,58,690336,51953.0471942361,"DHC",0.753159165382385,0.831681008660152,110.425663908359,"2013:690039","GenTGN:Match",62467.5165757759,68980.1699058646
2013,88,590083,2920.19393664369,"DHC",0.753159165382385,0.748646611802814,99.4008499415552,"2013:690039","GenTGN:Match",3900.63067220939,3877.26004125713
2013,94,690228,2625592.70201632,"DHC",1094.85290527344,852.677184966715,77.8805244850458,"2013:690039","GenTGN:Match",3079.23414430141,2398.12370170455
2013,95,690228,2625592.70160995,"DHC",1094.85290527344,852.677184966715,77.8805244850458,"2013:690039","GenTGN:Match",3079.23414382483,2398.12370133338
2013,110,590083,145360.643015334,"DHC",12.7719917297363,7.77219844884422,60.8534566362789,"2013:690039","GenTGN:Match",18702.6417264153,11381.2039728227
2013,113,590083,82799.6110637936,"DHC",8.40550422668457,3.40566029566124,40.5170255562949,"2013:690039","GenTGN:Match",24312.3517543071,9850.64177362893
2013,169,590083,123765.464305878,"DHC",6.51397180557251,9.08717597611534,139.502844767328,"2013:690039","GenTGN:Match",13619.7939416142,19000.0000000001
2013,187,590083,5702.39037228959,"DHC",1,1,100,"2013:690039","GenTGN:Match",5702.39037228959,5702.39037228959
2013,187,690071,18178.3431596687,"DHC",1,1,100,"2013:690039","GenTGN:Match",18178.3431596687,18178.3431596687
2013,187,690801,25640.2229001347,"DHC",1,1,100,"2013:690039","GenTGN:Match",25640.2229001347,25640.2229001347
2013,32,490042,986732.796901244,"DHC",29.7700004577637,15.9302610219023,53.5111211855824,"2013:490042","FamTGN:Match",61940.7802260489,33145.2059700562
2013,32,690051,1008510.81095106,"DHC",29.7700004577637,15.9302610219023,53.5111211855824,"2013:490042","FamTGN:Match",63307.8647967207,33876.7482513777
2013,32,690343,781541.104728264,"DHC",29.7700004577637,15.9302610219023,53.5111211855824,"2013:490042","FamTGN:Match",49060.1568708594,26252.6399970023
2013,32,690403,1115676.8574421,"DHC",29.7700004577637,15.9302610219023,53.5111211855824,"2013:490042","FamTGN:Match",70035.0644542592,37476.5482125192
2013,32,690683,662952.417045241,"DHC",29.7700004577637,15.9302610219023,53.5111211855824,"2013:490042","FamTGN:Match",41615.9167846501,22269.1436631251
2013,88,490042,19953.7567913559,"DHC",0.753159165382385,0.748646611802814,99.4008499415552,"2013:490042","FamTGN:Match",26653.1050522025,26493.4129577049
2013,88,690051,25622.0410378259,"DHC",0.753159165382385,0.748646611802814,99.4008499415552,"2013:490042","FamTGN:Match",34224.480060259,34019.4240679756
2013,88,690683,18673.5457932563,"DHC",0.753159165382385,0.748646611802814,99.4008499415552,"2013:490042","FamTGN:Match",24943.0712686839,24793.6248425996
