Year,Species,Metric.Tons,Pounds,LandedValue,TaxonKey
2010,"FLOUNDER,PACIFIC,SANDDAB",90.3,199164,84550,
2010,"FLOUNDERS, RIGHTEYE",0.3,614,327,
2010,FROGS,1.4,3016,6341,
2010,GAG,482.3,1063193,3922724,
2010,GARS,238.6,525994,430155,
2010,GLASSEYE SNAPPER,2.1,4583,15242,
2010,GOATFISHES,28.1,61983,280985,
2010,GOLDFISH,69.3,152858,108201,
2010,GOOSEFISH,7433.8,16388553,19214904,
2010,GRAYSBY,0.1,258,705,
2010,"GREENLING, KELP",19.9,43970,202714,
2010,GRENADIERS,135.3,298366,52505,
2010,"GROUPER, BLACK",32.4,71432,245355,
2010,"GROUPER, RED",1724.7,3802353,9898772,
2010,"GROUPER, SNOWY",91.4,201568,590261,
2010,"GROUPER, WARSAW",28.6,63065,137597,
2010,"GROUPER, YELLOWEDGE",247.4,545338,1782923,
2010,"GROUPER, YELLOWFIN",2.1,4685,17394,
2010,"GROUPER, YELLOWMOUTH",0.1,169,698,
2010,GROUPERS,5.6,12307,51127,
2010,"GRUNT, TOMTATE",0.1,115,53,
2010,"GRUNT, WHITE",10.4,22828,25136,
2010,GRUNTS,143.7,316844,275823,
2010,HADDOCK,9811,21629236,21715488,
2010,HAGFISHES,2223.1,4901008,3504691,
2010,"HAKE, ATLANTIC, RED/WHITE",59.7,131600,68089,
2010,"HAKE, OFFSHORE SILVER",7,15403,8337,
2010,"HAKE, PACIFIC (WHITING)",161124.8,355215799,27315866,
2010,"HAKE, RED",616.3,1358664,525282,
2010,"HAKE, SILVER",8078.2,17809304,11039602,
2010,"HAKE, WHITE",1807,3983639,4116221,
2010,"HALIBUT, ATLANTIC",24.4,53864,323860,
2010,"HALIBUT, CALIFORNIA",242.5,534568,2352594,
2010,"HALIBUT, GREENLAND",3909.9,8619719,2122443,
2010,"HALIBUT, PACIFIC",25589.1,56413622,206958364,
2010,HARVESTFISH,49.5,109042,139719,
2010,"HERRING, ATLANTIC",65761.1,144976862,21127366,
2010,"HERRING, ATLANTIC THREAD",532.7,1174296,188721,
2010,"HERRING, BLUEBACK",6.3,13852,11777,
2010,"HERRING, LAKE OR CISCO",564,1243432,715835,
2010,"HERRING, PACIFIC",49350,108797038,23304998,
2010,HERRINGS,389.2,857975,191886,
2010,"HIND, RED",4.4,9623,25022,
2010,"HIND, ROCK",7.2,15797,61103,
2010,"HIND, SPECKLED",8.2,18024,45166,
2010,HOGFISH,39.6,87393,277921,
2010,JACK MACKEREL,288.8,636713,62731,
2010,"JACK, ALMACO",105.9,233560,213619,
2010,"JACK, BAR",18.5,40803,38670,
2010,"JACK, BLACK",0.1,127,239,
2010,"JACK, CREVALLE",282.4,622560,498741,
2010,"JACK, HORSE-EYE",0.2,496,511,
2010,JACKS,74,163167,158047,
2010,"JOBFISH, GREEN (UKU)",49.5,109081,428039,
2010,KING WHITING,627.9,1384164,1461354,
2010,"KINGFISH, NORTHERN",0.2,541,243,
2010,LADYFISH,712.2,1570022,796761,
2010,"LAUNCE, AMERICAN SAND",1.6,3629,19560,
2010,LEATHER-SKIN,0.1,255,504,
2010,LEATHERJACKETS,234.9,517901,836277,
2010,LIMPETS,5.5,12105,70927,
2010,LINGCOD,407.1,897473,881682,
2010,"LOBSTER, AMERICAN",53330.8,117573017,404033800,
2010,"LOBSTER, BANDED SPINY",4.3,9419,116492,
2010,"LOBSTER, CALIFORNIA SPINY",324.6,715686,11386190,
2010,"LOBSTER, CARIBBEAN SPINY",2615.6,5766340,35569229,
2010,"LOBSTER, SLIPPER",1.1,2434,8021,
2010,LOOKDOWN,4.3,9506,7406,
2010,"MACKEREL, ATLANTIC",9876.6,21773937,4396295,
2010,"MACKEREL, CHUB",1989.9,4386860,443065,
2010,"MACKEREL, FRIGATE",0,2,6,
2010,"MACKEREL, KING",358.3,789811,1314847,
2010,"MACKEREL, KING AND CERO",2637.2,5813998,9519171,
2010,"MACKEREL, SPANISH",2627.9,5793522,4338132,
2010,MANTIS SHRIMPS,1.3,2855,7300,
2010,MARGATE,3.2,7042,6646,
2010,"MARLIN, BLUE",398.4,878279,1123677,
2010,"MARLIN, STRIPED",155.3,342332,632708,
2010,MENHADEN,571289.3,1259464387,92849681,
2010,MOJARRAS,247.3,545220,633364,
2010,MOLLUSKS,120.2,264956,424326,
2010,"MOONFISH, ATLANTIC",6.9,15171,12984,
2010,"MULLET, STRIPED (LIZA)",5476.1,12072676,6727680,
2010,"MULLET, WHITE",226.2,498744,224332,
2010,MULLETS,35.2,77618,186650,
2010,MUMMICHOG,0,11,NA,
2010,"MUSSEL, BLUE",2825.9,6229970,6984829,
2010,"MUSSEL, CALIFORNIA",28.4,62607,187821,
2010,OCEAN SUNFISH,0.1,130,13,
2010,OCTOPUS,355.6,784016,392911,
2010,OILFISH,271.1,597757,801846,
2010,OPAH,827.3,1823832,2591394,
2010,"OYSTER, EASTERN",8794.4,19388144,87113778,
2010,"OYSTER, EUROPEAN FLAT",0.4,796,8082,
2010,"OYSTER, KUMAMOTO",44.2,97511,2632798,
2010,"OYSTER, OLYMPIA",0.1,167,7547,
2010,"OYSTER, PACIFIC",4907.7,10819501,41284324,
2010,PARROTFISHES,29.1,64156,217045,
2010,"PERCH, WHITE",1302.1,2870706,1918322,
2010,"PERCH, YELLOW",796.3,1755419,2942444,
2010,PERIWINKLES,181.1,399247,1057737,
2010,PERMIT,2.3,4968,7568,
2010,PIGFISH,18.8,41438,83055,
2010,PINFISH,114.9,253224,230228,
2010,"PINFISH, SPOTTAIL",2.3,5133,2114,
2010,POLLOCK,5157.5,11370185,9529022,
2010,"POLLOCK, WALLEYE",883416.3,1947579632,282399251,
2010,POMFRETS,269.1,593171,1548587,
2010,"POMPANO, AFRICAN",4.2,9220,21048,
2010,"POMPANO, FLORIDA",126.2,278320,1077959,
2010,"PORGY, JOLTHEAD",4.6,10169,7285,
2010,"PORGY, KNOBBED",11.3,24975,23266,
2010,"PORGY, RED",150.5,331809,465989,
2010,"POUT, OCEAN",0.2,362,181,
2010,"PRICKLEBACK, MONKEYFACE",0,30,94,
2010,"PUFFER, NOTHERN",88.5,195102,863271,
2010,PUFFERS,1.7,3771,2315,
2010,QUILLBACK,115.2,254032,64888,
2010,RATFISH SPOTTED,0,25,58,
2010,"RAY,COWNOSE",80.3,176928,112198,
2010,"RAY,STINGRAYS",1,2294,2654,
2010,"REDFISH, ACADIAN",1646,3628710,1959681,
2010,"ROCKFISH, AURORA",0.3,561,848,
2010,"ROCKFISH, BANK",7.5,16511,11778,
2010,"ROCKFISH, BLACK",154.1,339711,652754,
2010,"ROCKFISH, BLACK-AND-YELLOW",10.4,22956,151974,
2010,"ROCKFISH, BLACKGILL",95,209457,246288,
2010,"ROCKFISH, BLUE",6.4,14040,21023,
2010,"ROCKFISH, BOCACCIO",5,10928,11185,
2010,"ROCKFISH, BROWN",26.5,58504,337403,
2010,"ROCKFISH, CANARY",13.1,28954,14769,
2010,"ROCKFISH, CHILIPEPPER",332.1,732099,441405,
2010,"ROCKFISH, CHINA",6.9,15266,98980,
2010,"ROCKFISH, COPPER",3.8,8428,45638,
2010,"ROCKFISH, DARKBLOTCHED",175.6,387114,196490,
2010,"ROCKFISH, FLAG",0.1,329,884,
2010,"ROCKFISH, GOPHER",28.2,62158,410073,
2010,"ROCKFISH, GRASS",12.5,27567,242379,
2010,"ROCKFISH, GREENBLOTCHED",0.1,211,570,
2010,"ROCKFISH, GREENSPOTTED",0.8,1839,3087,
2010,"ROCKFISH, GREENSTRIPED",0,69,86,
2010,"ROCKFISH, KELP",1,2255,11303,
2010,"ROCKFISH, OLIVE",0.5,1208,2427,
2010,"ROCKFISH, PACIFIC OCEAN PERCH",32467.5,71577851,11045649,
2010,"ROCKFISH, REDBANDED",0.5,1140,1277,
2010,"ROCKFISH, REDSTRIPE",0.1,309,117,
2010,"ROCKFISH, ROSY",0.2,386,1295,
2010,"ROCKFISH, SHORTBELLY",0,14,2,
2010,"ROCKFISH, SILVERGRAY",0.4,881,427,
2010,"ROCKFISH, SPECKLED",0.2,457,591,
2010,"ROCKFISH, SPLITNOSE",81.5,179672,53953,
2010,"ROCKFISH, SQUARESPOT",0.1,128,414,
2010,"ROCKFISH, STARRY",0.8,1766,7299,
2010,"ROCKFISH, TREEFISH",1.6,3520,30451,
2010,"ROCKFISH, VERMILION",14.6,32121,79251,
2010,"ROCKFISH, WIDOW",135.4,298443,132269,
2010,"ROCKFISH, YELLOWEYE",4,8767,9047,
2010,"ROCKFISH, YELLOWMOUTH",0.1,132,65,
2010,"ROCKFISH, YELLOWTAIL",861.7,1899750,948581,
2010,ROCKFISHES,14636.6,32267954,10713750,
2010,"ROSEFISH, BLACKBELLY",5.7,12511,20895,
2010,"RUDDERFISH, BANDED",24.9,54847,44443,
2010,"RUNNER, BLUE",120.4,265477,246947,
2010,"RUNNER, RAINBOW",1.1,2332,4485,
2010,SABLEFISH,18287.8,40317190,124384950,
2010,SAILFISH,14.7,32366,41061,
2010,"SALMON, CHINOOK",6041.7,13319460,38155563,
2010,"SALMON, CHUM",52434.4,115596943,74919439,
2010,"SALMON, COHO",15082,33249728,35738947,
2010,"SALMON, PINK",168990.9,372557379,127337509,
