NMFS Landings Query Results,,,,
,,,,
You Asked For the Following:,,,,
,,,,
Year             : From: 1950 To: 2010,,,,
,,,,
Species          : ALL SPECIES INDIVIDUALLY,,,,
,,,,
State            : All States,,,,
,,,,
Year,Species,Metric Tons,Pounds,$
1950,MACKEREL (SCOMBER),"14,810.60","32,651,400","794,619"
1950,"MACKEREL, ATLANTIC","10,021.40","22,093,100","2,057,989"
1950,"MACKEREL, FRIGATE",27.5,"60,600","1,803"
1950,"MACKEREL, KING AND CERO",742.7,"1,637,400","224,689"
1950,"MACKEREL, SPANISH","2,873.50","6,335,000","590,300"
1950,MENHADEN,"465,534.60","1,026,317,600","10,402,294"
1950,MOJARRAS,242.2,"533,900","27,337"
1950,MOONEYES,2.8,"6,200",249
1950,"MULLET, STRIPED (LIZA)","15,886.60","35,023,700","3,631,214"
1950,"MUSSEL, BLUE",345.1,"760,800","70,783"
1950,"MUSSEL, CALIFORNIA",0.1,300,109
1950,OCTOPUS,43.8,"96,500","5,728"
1950,"OYSTER, EASTERN","30,931.70","68,192,100","27,391,974"
1950,"OYSTER, OLYMPIA",64.9,"143,100","203,120"
1950,"OYSTER, PACIFIC","3,664.90","8,079,700","2,001,417"
1950,PADDLEFISH,21.2,"46,800","6,242"
1950,"PERCH, WHITE","1,179.30","2,599,800","218,901"
1950,"PERCH, YELLOW","2,083.30","4,592,900","797,372"
1950,PERIWINKLES,1.5,"3,200","1,035"
1950,PERMIT,5.3,"11,600",630
1950,PIGFISH,146.1,"322,100","12,107"
1950,"PIKE, BLUE","2,324.30","5,124,200","1,045,612"
1950,PIKES,64.3,"141,800","15,885"
1950,PINFISH,208.5,"459,700","3,526"
1950,POLLOCK,"11,634.00","25,648,400","830,222"
1950,"POMPANO, FLORIDA",383.5,"845,400","458,962"
1950,"POMPANO, PACIFIC",83.3,"183,700","47,698"
1950,PORKFISH,0.3,700,35
1950,"PUFFER, NOTHERN",740.2,"1,631,800","76,310"
1950,QUILLBACK,0.9,"1,900",40
1950,RATFISH SPOTTED,236.3,"521,000","5,209"
1950,"REDFISH, ACADIAN","94,254.30","207,793,000","9,137,318"
1950,"ROCK BASSES, PACIFIC",92,"202,800","28,477"
1950,ROCKFISHES,"12,049.10","26,563,428","1,113,855"
1950,"RUNNER, BLUE",360.6,"795,000","26,280"
1950,SABLEFISH,"2,743.70","6,048,701","482,398"
1950,"SALMON, ATLANTIC",0.4,800,362
1950,"SALMON, CHINOOK","16,583.10","36,559,160","8,328,433"
1950,"SALMON, CHUM","33,843.10","74,610,432","5,920,158"
1950,"SALMON, COHO","18,245.80","40,224,632","7,151,008"
1950,"SALMON, PINK","38,906.60","85,773,432","6,773,180"
1950,"SALMON, SOCKEYE","41,493.30","91,476,188","9,277,170"
1950,SAND PERCH,12.3,"27,200","1,416"
1950,SANDWORMS,26.2,"57,700","38,683"
1950,"SARDINE, PACIFIC","324,105.00","714,521,800","12,140,322"
