"Species","LandedValue","Landings","ObservedPrice","FishingEntityName","Year"
"Bigeye scad",112,0.02041165665,5487.06074771251,"American Samoa",2006
"Leatherback",8,0.00181436948,4409.24524369755,"American Samoa",2006
"Mackerel",1835,0.41594420329,4411.64941231462,"American Samoa",2006
"Trevally (misc)",54,0.01224699399,4409.24524369755,"American Samoa",2006
"Jacks (misc)",165,0.04445205226,3711.86461841886,"American Samoa",2006
"Black jack",344,0.08346099608,4121.68577128249,"American Samoa",2006
"Bigeye trevally",444,0.07937866475,5593.44253771918,"American Samoa",2006
"Barracudas (misc)",2876,0.96660534047,2975.36117336325,"American Samoa",2006
"Bigeye barracuda",82,0.01859728717,4409.24524369755,"American Samoa",2006
"Greater amberjack",4576,0.98338825816,4653.29940847786,"American Samoa",2006
"Filefishes",433,0.09842954429,4399.08569244479,"American Samoa",2006
"Sharks (misc)",677,0.1678291769,4033.86355403141,"American Samoa",2006
"Blacktip reef shark",217,0.11929479331,1819.02322791325,"American Samoa",2006
"Conger eels",0,0,NA,"American Samoa",2006
"Groupers (misc)",819,0.14923188973,5488.10312247461,"American Samoa",2006
"Peacock grouper",10,0.00272155422,3674.37103641463,"American Samoa",2006
"Tomato grouper",138,0.03356583538,4111.32326777204,"American Samoa",2006
"Blacktip grouper",49,0.01224699399,4000.98179520704,"American Samoa",2006
"Yellowspot grouper",21,0.0045359237,4629.70750588243,"American Samoa",2006
"Spotted grouper",44,0.00997903214,4409.24524369755,"American Samoa",2006
"Lunartail grouper",418,0.1043262451,4006.66198231647,"American Samoa",2006
"Blue lined snapper",511,0.10523342984,4855.87137829623,"American Samoa",2006
"Rufous snapper",71,0.02041165665,3478.40458113918,"American Samoa",2006
"Yellow margined snapper",26,0.00272155422,9553.36469467803,"American Samoa",2006
"Onespot snapper",301,0.0362873896,8294.89261470602,"American Samoa",2006
"Humpback snapper",1630,0.3084428116,5284.61010825515,"American Samoa",2006
"Gray jobfish",810,0.22044589182,3674.37103641463,"American Samoa",2006
"Yelloweye snapper",242,0.0408233133,5927.98527208226,"American Samoa",2006
"Pink snapper (opakapaka)",355,0.05760623099,6162.52780123083,"American Samoa",2006
"Yelloweye opakapaka",64,0.02131884139,3002.03931485791,"American Samoa",2006
"Blue lined gindai",90,0.02358680324,3815.69299935365,"American Samoa",2006
"Flower snapper (gindai)",884,0.16510762268,5354.08351020417,"American Samoa",2006
"Yellowtail snapper",2930,0.43907741416,6673.08293596788,"American Samoa",2006
"Smalltooth jobfish (lehi)",276,0.10296546799,2680.51032436239,"American Samoa",2006
"Longtail snapper (onaga)",350,0.11611964672,3014.13249080887,"American Samoa",2006
"Squirrel snapper (ehu)",2828,0.43045915913,6569.72895109414,"American Samoa",2006
"Stone's snapper",226,0.06939963261,3256.5013891361,"American Samoa",2006
"Kusakar's snapper",29,0.00589670081,4918.00431027804,"American Samoa",2006
"Bigeye emperor",12,0.00272155422,4409.24524369755,"American Samoa",2006
"Emperors (misc)",330,0.07121400209,4633.92016057386,"American Samoa",2006
"Longnose emperor",174,0.0362873896,4795.05420252109,"American Samoa",2006
"Ambon emperor",202,0.03311224301,6100.46259744456,"American Samoa",2006
"Orangespot emperor",44,0.01179340162,3730.89982159024,"American Samoa",2006
"Redgill emperor",855,0.1723651006,4960.40089915974,"American Samoa",2006
"Rabbitfish",4,0.00090718474,4409.24524369755,"American Samoa",2006
"Cardinalfish",40,0.01088621688,3674.37103641463,"American Samoa",2006
"Sergeant major",280,0.05080234544,5511.55655462194,"American Samoa",2006
"Surgeonfishes/tangs",11946,2.62267108334,4554.89827751738,"American Samoa",2006
"Unicornfishes (misc)",1468,0.3265865064,4494.98056788056,"American Samoa",2006
"Squirrelfish",1263,0.27714493807,4557.18227724223,"American Samoa",2006
"Saber squirrelfish",128,0.01950447191,6562.59757201496,"American Samoa",2006
"Bigeye squirrelfish",2,0.00045359237,4409.24524369755,"American Samoa",2006
"Parrotfishes (misc)",19794,3.78840347424,5224.89226255683,"American Samoa",2006
"Terapon perch",33,0.00816466266,4041.80814005609,"American Samoa",2006
"Sweetlips",56,0.00861825503,6497.83509597534,"American Samoa",2006
"Christmas wrasse",8,0.00136077711,5878.9936582634,"American Samoa",2006
"Paeony bulleye",251,0.03855535145,6510.1209186358,"American Samoa",2006
"Orange goatfish",16,0.00226796185,7054.79238991608,"American Samoa",2006
"Sweepers",144,0.03265865064,4409.24524369755,"American Samoa",2006
"Inshore groupers",717,0.15694296002,4568.53878573865,"American Samoa",2006
"Triggerfish",65,0.01451495584,4478.13970063033,"American Samoa",2006
"Porcupinefish",4,0.00090718474,4409.24524369755,"American Samoa",2006
"Inshore snappers",761,0.14197441181,5360.12081542146,"American Samoa",2006
"Striped marlin",46,0.02086524902,2204.62262184878,"American Samoa",2006
"Mahimahi",14251,4.58808682255,3106.08768996213,"American Samoa",2006
"Swordfish",144617,29.59917010435,4885.84644401049,"American Samoa",2006
"Blue marlin",9677,3.87050369321,2500.19138774529,"American Samoa",2006
"Black marlin",617,0.27986649229,2204.62262184878,"American Samoa",2006
"Sailfish",4316,0.78290043062,5512.83385625685,"American Samoa",2006
"Spearfish",40,0.0181436948,2204.62262184878,"American Samoa",2006
"Rainbow runner",218,0.04898797596,4450.0715885466,"American Samoa",2006
"Wahoo",362739,270.72252370317,1339.89220785235,"American Samoa",2006
"Skipjack tuna",244050,194.45731698085,1255.03120062093,"American Samoa",2006
"Dogtooth tuna",821,0.19549831147,4199.52476226878,"American Samoa",2006
"Albacore",9052542,4080.86214431357,2218.29154719528,"American Samoa",2006
"Yellowfin tuna",1090076,523.60616667898,2081.8624175378,"American Samoa",2006
"Bigeye tuna",450724,183.92853088841,2450.53879255663,"American Samoa",2006
"Kawakawa",140,0.0317514659,4409.24524369755,"American Samoa",2006
"Moonfish",564,0.19685908858,2864.99345327813,"American Samoa",2006
"Sunfish",226,0.08210021897,2752.73321844101,"American Samoa",2006
"Spiny lobster",22859,2.45166675985,9323.86096444795,"American Samoa",2006
"Octopus",4329,0.81102315756,5337.70208612044,"American Samoa",2006
"Shrimp",1244,0.23042492396,5398.72153854307,"American Samoa",2006
"Squid",40,0.01088621688,3674.37103641463,"American Samoa",2006
"Giant clam",15,0.00680388555,2204.62262184878,"American Samoa",2006
"Clams (misc)",63,0.01088621688,5787.13438235304,"American Samoa",2006
"Tilapia",4525,1.76084558034,2569.78808960992,"American Samoa",2006
