"Species","LandedValue","Landings","ObservedPrice","FishingEntityName","Year"
"Albacore tuna",11467541,5188.39228384939,2210.2301392469,"American Samoa",2007
"Bigeye tuna",567360,231.21236031432,2453.84805219196,"American Samoa",2007
"Dogtooth tuna",1775,0.35743078756,4965.99638804769,"American Samoa",2007
"Kawakawa",138,0.04445205226,3104.46858995032,"American Samoa",2007
"Skipjack tuna",210543,169.25118897995,1243.96762745898,"American Samoa",2007
"Yellowfin tuna",1341543,637.91779421216,2103.00294516291,"American Samoa",2007
"Unicornfishes",4198,0.83869229213,5005.41144755065,"American Samoa",2007
"Wahoo",266829,198.16271305138,1346.51466913867,"American Samoa",2007
"Wrasses",361,0.06667807839,5414.07324141094,"American Samoa",2007
"Amberjack",353,0.06395652417,5519.37436533772,"American Samoa",2008
"Greater amberjack",3947,0.74570585628,5292.97170829508,"American Samoa",2008
"Barracudas",4381,0.7484274105,5853.60709473908,"American Samoa",2008
"Bottomfishes (unknown)",16493,2.54374601096,6483.74481136802,"American Samoa",2008
"Bigeye bream",160,0.02812272694,5689.34870154523,"American Samoa",2008
"Paeony bulleye",62,0.01043262451,5942.89576324453,"American Samoa",2008
"Butterflyfishes",40,0.00771107029,5187.34734552653,"American Samoa",2008
"Crabs",62,0.01133980925,5467.46410218496,"American Samoa",2008
"Eels",164,0.0272155422,6025.96849971999,"American Samoa",2008
"Moray eels",96,0.01859728717,5162.04321213372,"American Samoa",2008
"Ambon emperor",1670,0.27578416096,6055.46016198595,"American Samoa",2008
"Longnose emperor",8258,1.39434294538,5922.50280131008,"American Samoa",2008
"Orangespot emperor",551,0.090718474,6073.73532319338,"American Samoa",2008
"Redgill emperor",11470,1.98401302638,5781.21204220518,"American Samoa",2008
"Emperors",10236,1.80484404023,5671.40416115709,"American Samoa",2008
"Filefishes",86,0.01678291769,5124.25798591878,"American Samoa",2008
"Angler flatfish",58,0.00997903214,5812.18691214677,"American Samoa",2008
"Goatfishes",938,0.17009713875,5514.49605145107,"American Samoa",2008
"Blacktip grouper",73,0.01315417873,5549.5672894814,"American Samoa",2008
"Hexagon grouper",50,0.00952543977,5249.10148059232,"American Samoa",2008
"Honeycomb grouper",136,0.02449398798,5552.38289947099,"American Samoa",2008
"Longspine grouper",80,0.01496854821,5344.53968933037,"American Samoa",2008
"Peacock grouper",96,0.01950447191,4921.94817901122,"American Samoa",2008
"Six-banded grouper",2098,0.34609097831,6061.98985666937,"American Samoa",2008
"Smalltooth grouper",210,0.03810175908,5511.55655462194,"American Samoa",2008
"Spotted grouper",250,0.05261671492,4751.34185743271,"American Samoa",2008
"Tomato grouper",188,0.03538020486,5313.70580650731,"American Samoa",2008
"Yellowspot grouper",615,0.11158372302,5511.55655462194,"American Samoa",2008
"Groupers",3000,0.53705336608,5586.03704860332,"American Samoa",2008
"Inshore groupers",1184,0.20275578939,5839.53732498647,"American Samoa",2008
"Black jack",1162,0.2041165665,5692.82552575173,"American Samoa",2008
"Jacks",515,0.09117206637,5648.65995150308,"American Samoa",2008
"Brown jobfish",133,0.02222602613,5983.97568787525,"American Samoa",2008
"Goldflag jobfish",1786,0.82417733629,2167.00935752444,"American Samoa",2008
"Gray jobfish",9180,1.68554924692,5446.2959280333,"American Samoa",2008
"Silverjaw jobfish (lehi)",9902,1.5240703632,6497.07535760315,"American Samoa",2008
"Spiny lobster",6906,0.64274038829,10744.6180850301,"American Samoa",2008
