"SPEC","Species","UNIT","Measure","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PSQU","Squid","LC","National Currency","BEL","Belgium","2008","2008","EUR","Euro","0","units",,,15006,,
"PSQU","Squid","LC","National Currency","BEL","Belgium","2009","2009","EUR","Euro","0","units",,,14236,,
"PSQU","Squid","LC","National Currency","BEL","Belgium","2010","2010","EUR","Euro","0","units",,,87240,,
"PPEL","Pelagics","TON","Tonnes","POL","Poland","2010","2010","TONNE","Tonnes","0","units",,,31.142,,
"PPLA","Plaice","TON","Tonnes","ISL","Iceland","1995","1995","TONNE","Tonnes","0","units",,,183,,
"PPLA","Plaice","TON","Tonnes","ISL","Iceland","1996","1996","TONNE","Tonnes","0","units",,,56,,
"PPLA","Plaice","TON","Tonnes","ISL","Iceland","1998","1998","TONNE","Tonnes","0","units",,,139,,
"PPLA","Plaice","TON","Tonnes","ISL","Iceland","1999","1999","TONNE","Tonnes","0","units",,,387,,
"PPLA","Plaice","TON","Tonnes","ISL","Iceland","2000","2000","TONNE","Tonnes","0","units",,,71,,
"PPLA","Plaice","TON","Tonnes","ISL","Iceland","2003","2003","TONNE","Tonnes","0","units",,,0.526,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","1995","1995","TONNE","Tonnes","0","units",,,635,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","1996","1996","TONNE","Tonnes","0","units",,,635,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","1997","1997","TONNE","Tonnes","0","units",,,730,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","1998","1998","TONNE","Tonnes","0","units",,,953,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","1999","1999","TONNE","Tonnes","0","units",,,1312,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2000","2000","TONNE","Tonnes","0","units",,,1543,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2001","2001","TONNE","Tonnes","0","units",,,734,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2002","2002","TONNE","Tonnes","0","units",,,1864,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2003","2003","TONNE","Tonnes","0","units",,,2287,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2004","2004","TONNE","Tonnes","0","units",,,2323,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2005","2005","TONNE","Tonnes","0","units",,,3528,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2006","2006","TONNE","Tonnes","0","units",,,1242,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2007","2007","TONNE","Tonnes","0","units",,,762,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2008","2008","TONNE","Tonnes","0","units",,,749,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2009","2009","TONNE","Tonnes","0","units",,,659,,
"POTH","Other Groundfish","TON","Tonnes","DNK","Denmark","2010","2010","TONNE","Tonnes","0","units",,,587,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","1995","1995","GBP","Pound Sterling","0","units",,,1335100,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","1996","1996","GBP","Pound Sterling","0","units",,,1859080,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","1997","1997","GBP","Pound Sterling","0","units",,,2006470,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","1998","1998","GBP","Pound Sterling","0","units",,,83777810,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","1999","1999","GBP","Pound Sterling","0","units",,,1685105.5,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2000","2000","GBP","Pound Sterling","0","units",,,1891198.14,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2001","2001","GBP","Pound Sterling","0","units",,,4543207,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2002","2002","GBP","Pound Sterling","0","units",,,5470169.06,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2003","2003","GBP","Pound Sterling","0","units",,,4908653.92,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2004","2004","GBP","Pound Sterling","0","units",,,7849038.89,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2005","2005","GBP","Pound Sterling","0","units",,,17276700.24,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2006","2006","GBP","Pound Sterling","0","units",,,25728000,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2007","2007","GBP","Pound Sterling","0","units",,,20841000,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2008","2008","GBP","Pound Sterling","0","units",,,22052526,,
