,Series N12-24.,,"Quantities of fish landed, by region and by major species, 1869 to 1975",,,,,,,,,,,,,,,,,,,,,
,,,(thousands of pounds),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Year1,,,,,, East coast2,,,,,,,Inland,,,,,, West coast3,,,,
,,,Cod,Haddock,,Lobsters, Sword-,Herring,Redfish,Scallops,,White-,,Blue,,,Yellow,,Salmon,Herring,Halibut4,,,
,,,, ,,,fish,and,,,,fish,,pickerel,,,pickerel,,,,,,,
,,,,,,,,sardines,,,,,,,,,,,,,,,,
,,,12,13,,14,15,16,17,18,,19,,20,,,21,,22,23,24,,,
,1943,,"213,938","30,745",,"30,109","3,021","215,541",32,574,,"16,781",,"9,661",,,"13,503",,"121,421","182,794","12,687",,,
,1942,,"193,557","26,206",,"28,025","1,934","189,781",127,700,,"16,706",,"4,438",,,"12,804",,"162,198","232,483","11,028",,,
,1941,,"194,754","28,777",,"27,802","1,346","191,990",38,784,,"17,866",,"1,621",,,"12,630",,"190,035","168,852","12,929",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1940,,"191,633","35,557",,"26,799","2,290","169,566",281,665,,"16,818",,"2,118",,,"10,580",,"143,190","339,501","12,694",,,
,1939,,"161,918","38,516",,"31,466","1,788","177,256",589,496,,"16,462",,"6,158",,,"12,051",,"147,637","216,481","13,397",,,
,1938,,"168,338","39,359",,"31,438","1,093","151,796",478,957,,"15,424",,"7,317",,,"12,881",,"173,466","132,891","12,025",,,
,1937,,"150,932","38,882",,"30,995","1,502","139,643",97,"1,838",,"17,368",,"9,450",,,"14,302",,"169,174","192,980","11,721",,,
,1936,,"169,188","40,301",,"28,327","1,785","167,531",211,"1,708",,"14,460",,"6,900",,,"14,564",,"199,550","162,062","10,592",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1935,,"152,246","36,843",,"31,997","2,234","139,261",–,"1,332",,"14,746",,"5,123",,,"10,955",,"178,943","100,851","10,193",,,
,1934,,"170,125","35,607",,"36,199","1,409","142,662",–,899,,"14,462",,"2,432",,,"12,251",,"165,990","82,036","9,768",,,
,1933,,"155,648","26,888",,"37,492","1,714","120,612",–,863,,"15,214",,"4,216",,,"10,627",,"141,050","107,737","17,081",,,
,1932,,"142,619","36,018",,"48,349","1,036","95,630",–,468,,"13,848",,"4,061",,,"8,950",,"129,149","100,320","16,885",,,
,1931,,"146,200","36,385",,"43,549","1,263","104,948",–,236,,"15,622",,"5,405",,,"9,235",,"128,704","148,108","18,200",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1930,,"166,147","48,634",,"40,726","1,193","116,262",–,373,,"16,975",,"5,928",,,"10,315",,"229,621","122,196","25,480",,,
,1929,,"197,883","54,541",,"37,282",634,"144,596",–,358,,"19,639",,"2,583",,,"12,850",,"151,404","131,567","30,392",,,
,1928,,"214,982","48,171",,"32,244",809,"137,292",–,526,,"18,070",,"2,150",,,"14,261",,"225,746","153,512","30,282",,,
,1927,,"197,864","42,171",,"31,683",730,"128,606",–,773,,"18,566",,"3,117",,,"14,002",,"149,040","172,425","30,053",,,
,1926,,"269,476","49,680",,"33,958","1,294","141,591",–,464,,"19,064",,"3,038",,,"12,609",,"212,556","130,127","31,510",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1925,,"227,736","34,439",,"34,084",455,"124,049",–,354,,"18,665",,"3,445",,,"8,688",,"187,338","143,788","31,824",,,
,1924,,"184,779","33,786",,"27,221",558,"138,459",–,207,,"16,771",,"3,060",,,"10,161",,"196,516","115,762","33,138",,,
,1923,,"177,251","30,456",,"38,163","1,434","96,189",–,278,,"15,779",,"3,255",,,"10,387",,"151,476","103,582","33,467",,,
,1922,,"232,021","30,773",,"36,392","1,116","125,996",–,216,,"15,878",,"6,358",,,"8,315",,"150,908","100,252","29,318",,,
,1921,,"200,424","26,922",,"39,362",685,"94,210",–,98,,"18,407",,"6,406",,,"6,485",,"84,203","94,487","32,587",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1920,,"194,860","44,174",,"39,998",335,"132,842",–,84,,"18,176",,"3,380",,,"6,188",,"126,286","100,136","23,877",,,
,1919,,"255,945","56,457",,"34,581",741,"131,676",–,274,,"19,740",,"2,392",,,"6,173",,"166,835","56,787","21,078",,,
,1918,,"216,239","55,437",,"26,410",364,"171,884",–,250,,"20,504",,–,,,–,,"149,350","63,692","18,623",,,
,1917,,"221,546","71,242",,"47,487",434,"106,240",–,132,,–,,–,,,–,,"160,152","48,724","11,353",,,
,1917,1,"196,286","58,203",,"48,090",928,"177,689",–,189,,–,,–,,,–,,"119,643","49,603","12,306",,,
,1916,,"211,689","58,252",,"44,528","1,853","198,354",–,137,,–,,–,,,–,,"136,939","46,745","19,490",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1915,,"177,286","56,600",,"40,882",498,"206,035",–,–,,–,,–,,,–,,"136,974","56,341","21,444",,,
,1914,,"163,538","40,563",,"51,465","1,332","198,631",–,–,,–,,–,,,–,,"150,935","64,906","22,346",,,
,1913,,"170,049","50,382",,"55,514",656,"213,403",–,–,,–,,–,,,–,,"122,106","72,957","25,328",,,
,1912,,"207,220","53,022",,"58,914",794,"240,067",–,–,,–,,–,,,–,,"110,367","54,544","19,649",,,
,1911,,"312,651","45,672",,"57,910",272,"212,022",–,–,,–,,–,,,–,,"93,783","27,519","21,906",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1910,,"248,990",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1909,1,–,"60,000",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1908,,"217,170","49,000",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1907,,–,"47,000",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1906,,"203,364","48,100",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1905,,"223,355","55,900",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1904,,"238,610","46,900",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1903,,"248,163","41,400",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1902,,"299,173","45,200",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1901,,"299,900","60,500",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1900,,"267,684","50,200",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1899,,"278,155","62,700",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1898,,"212,837","59,200",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1897,,"237,534","96,000",6,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1896,,"239,021","52,000",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1895,,"241,078","48,700",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1894,,"280,454","54,900",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1893,,"266,507","53,300",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1892,,"269,464","67,000",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1891,,"254,691","60,000",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1890,,"257,320","53,200",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1889,,"271,368","50,300",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1888,,"315,254","94,900",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1887,,"323,476","86,400",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1886,,"324,215","85,400",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
