Species,CommonName,Name,T1
 Anchovia macrolepidota,Bigscale anchovy ,Bigscale anchovy - Anchovia macrolepidota,NA
 Deania calcea,Birdbeak dogfish ,Birdbeak dogfish - Deania calcea,NA
 Epigonus telescopus,Black cardinal fish ,Black cardinal fish - Epigonus telescopus,NA
 Zeugopterus punctatus,Black catfishes nei ,Black catfishes nei - Zeugopterus punctatus,NA
 Zeugopterus punctatus,Topknot ,Topknot - Zeugopterus punctatus,NA
 Centroscyllium fabricii,Black dogfish ,Black dogfish - Centroscyllium fabricii,NA
 Gobius niger,Black goby ,Black goby - Gobius niger,NA
 Makaira indica,Black marlin ,Black marlin - Makaira indica,NA
 Aphanopus carbo,Black scabbardfish ,Black scabbardfish - Aphanopus carbo,NA
 Scorpaena porcus,Black scorpionfish ,Black scorpionfish - Scorpaena porcus,NA
 Alosa maeotica,Black Sea shad ,Black Sea shad - Alosa maeotica,NA
 Arbacia lixula,Black sea urchin ,Black sea urchin - Arbacia lixula,NA
 Centropristis striata,Black seabass ,Black seabass - Centropristis striata,NA
 Spondyliosoma cantharus,Black seabream ,Black seabream - Spondyliosoma cantharus,NA
 Hirundichthys rondeletii,Black wing flyingfish ,Black wing flyingfish - Hirundichthys rondeletii,NA
 Lophius budegassa,Blackbellied angler ,Blackbellied angler - Lophius budegassa,NA
 Helicolenus dactylopteru,Blackbelly rosefish ,Blackbelly rosefish - Helicolenus dactylopteru,NA
 Thunnus atlanticus,Blackfin tuna ,Blackfin tuna - Thunnus atlanticus,NA
 Galeus melastomus,Blackmouth catshark ,Blackmouth catshark - Galeus melastomus,NA
 Pagellus bogaraveo,Blackspot(=red) seabream ,Blackspot(=red) seabream - Pagellus bogaraveo,NA
hound ,Blackspotted smooth,Blackspotted smooth-hound - Mustelus punctulatus,NA
hound ,Brown smooth,Brown smooth-hound - Mustelus henlei,NA
hound ,Smooth,Smooth-hound - Mustelus mustelus,NA
hound ,Spotted estuary smooth,Spotted estuary smooth-hound - Mustelus lenticulatus,NA
 Serranus atricauda,Blacktail comber ,Blacktail comber - Serranus atricauda,NA
 Epinephelus fasciatus,Blacktip grouper ,Blacktip grouper - Epinephelus fasciatus,NA
 Alburnus alburnus,Bleak ,Bleak - Alburnus alburnus,NA
 Raja brachyura,Blonde ray ,Blonde ray - Raja brachyura,NA
 Spicara maena,Blotched picarel ,Blotched picarel - Spicara maena,NA
and,Blue,Blue-and-yellow grouper - Epinephelus flavocaeruleus,NA
leg swimcrab ,Blue,Blue-leg swimcrab - Liocarcinus depurator,NA
"whales, fin",Blue,"Blue-whales, fin-whales",NA
 Aristeus antennatus,Blue and red shrimp ,Blue and red shrimp - Aristeus antennatus,NA
 Antimora rostrata,Blue antimora ,Blue antimora - Antimora rostrata,NA
 Stromateus fiatola,Blue butterfish ,Blue butterfish - Stromateus fiatola,NA
 Trachurus picturatus,Blue jack mackerel ,Blue jack mackerel - Trachurus picturatus,NA
 Molva dypterygia,Blue ling ,Blue ling - Molva dypterygia,NA
 Scomber australasicus,Blue mackerel ,Blue mackerel - Scomber australasicus,NA
 Makaira nigricans,Blue marlin ,Blue marlin - Makaira nigricans,NA
 Mytilus edulis,Blue mussel ,Blue mussel - Mytilus edulis,NA
 Caranx crysos,Blue runner ,Blue runner - Caranx crysos,NA
 Prionace glauca,Blue shark ,Blue shark - Prionace glauca,NA
 Raja batis,Blue skate ,Blue skate - Raja batis,NA
 Micromesistius poutassou,Blue whiting (=Poutassou) ,Blue whiting (=Poutassou) - Micromesistius poutassou,NA
 Alosa aestivalis,Blueback shad ,Blueback shad - Alosa aestivalis,NA
 Pomatomus saltatrix,Bluefish ,Bluefish - Pomatomus saltatrix,NA
 Fistularia commersonii,Bluespotted cornetfish ,Bluespotted cornetfish - Fistularia commersonii,NA
 Sparus caeruleostictus,Bluespotted seabream ,Bluespotted seabream - Sparus caeruleostictus,NA
 Hexanchus griseus,Bluntnose sixgill shark ,Bluntnose sixgill shark - Hexanchus griseus,NA
 Stomias boa,Boa dragonfish ,Boa dragonfish - Stomias boa,NA
 Capros aper,Boarfish ,Boarfish - Capros aper,NA
 Caproidae,Boarfishes nei ,Boarfishes nei - Caproidae,NA
Bodianus spp,Bodianus spp,Bodianus spp,NA
 Pteroscion peli,Boe drum ,Boe drum - Pteroscion peli,NA
 Boops boops,Bogue ,Bogue - Boops boops,NA
 Albula vulpes,Bonefish ,Bonefish - Albula vulpes,NA
 Sarda spp,Bonitos nei ,Bonitos nei - Sarda spp,NA
 Minnivola pyxidata,Box scallop ,Box scallop - Minnivola pyxidata,NA
 Oedalechilus labeo,Boxlip mullet ,Boxlip mullet - Oedalechilus labeo,NA
Brachypterois serrulata,Brachypterois serrulata,Brachypterois serrulata,NA
 Echinorhinus brucus,Bramble shark ,Bramble shark - Echinorhinus brucus,NA
 Kyphosus vaigiensis,Brassy chub ,Brassy chub - Kyphosus vaigiensis,NA
 Mycteroperca spp,Brazilian groupers nei ,Brazilian groupers nei - Mycteroperca spp,NA
 Scophthalmus rhombus,Brill ,Brill - Scophthalmus rhombus,NA
 Gonostomatidae,Bristlemouths ,Bristlemouths - Gonostomatidae,NA
 Atrina fragilis,Brittle pen shell ,Brittle pen shell - Atrina fragilis,NA
 Illex coindetii,Broadtail shortfin squi ,Broadtail shortfin squi - Illex coindetii,NA
 Serranus hepatus,Brown comber ,Brown comber - Serranus hepatus,NA
 Sciaena umbra,Brown meagre ,Brown meagre - Sciaena umbra,NA
 Gymnothorax unicolor,Brown moray ,Brown moray - Gymnothorax unicolor,NA
 Raja miraletus,Brown ray ,Brown ray - Raja miraletus,NA
 Selenaspis dowii,Brown sea catfish ,Brown sea catfish - Selenaspis dowii,NA
Brown seaweeds,Brown seaweeds,Brown seaweeds,NA
 Phaeophyceae,Brown seaweeds ,Brown seaweeds - Phaeophyceae,NA
 Labrus merula,Brown wrasse ,Brown wrasse - Labrus merula,NA
 Gobius bucchichi,Bucchich's goby ,Bucchich's goby - Gobius bucchichi,NA
 Auxis rochei,Bullet tuna ,Bullet tuna - Auxis rochei,NA
 Lota lota,Burbot ,Burbot - Lota lota,NA
 Stromateidae,"Butterfishes, Pomfrets, nei ","Butterfishes, Pomfrets, nei - Stromateidae",NA
 Blennius ocellaris,Butterfly blenny ,Butterfly blenny - Blennius ocellaris,NA
 Amblygobius albimaculatus,Butterfly goby ,Butterfly goby - Amblygobius albimaculatus,NA
 Abudefduf luridus,Canary damsel ,Canary damsel - Abudefduf luridus,NA
 Dentex canariensis,Canary dentex ,Canary dentex - Dentex canariensis,NA
 Umbrina canariensis,Canary drum (=Baardman) ,Canary drum (=Baardman) - Umbrina canariensis,NA
" Merluccius capensis,M.paradox.",Cape hakes ,"Cape hakes - Merluccius capensis,M.paradox.",NA
 Loligo reynaudi,Cape Hope squid ,Cape Hope squid - Loligo reynaudi,NA
 Mallotus villosus,Capelin ,Capelin - Mallotus villosus,NA
 Penaeus kerathurus,Caramote prawn ,Caramote prawn - Penaeus kerathurus,NA
 Carangidae,Carangids nei ,Carangids nei - Carangidae,NA
 Carcinus spp,Carcinus crabs nei ,Carcinus crabs nei - Carcinus spp,NA
 Apogon imberbis,Cardinal fish ,Cardinal fish - Apogon imberbis,NA
 Epigonus spp,Cardinal fishes nei ,Cardinal fishes nei - Epigonus spp,NA
 Apogonidae,"Cardinalfishes etc, nei ","Cardinalfishes etc, nei - Apogonidae",NA
 Panulirus argus,Caribbean spiny lobster ,Caribbean spiny lobster - Panulirus argus,NA
 Venerupis pullastra,Carpet shell ,Carpet shell - Venerupis pullastra,NA
 Ruditapes spp,Carpet shells nei ,Carpet shells nei - Ruditapes spp,NA
"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",NA
 Chondrus crispus,Carragheen (Irish moss) ,Carragheen (Irish moss) - Chondrus crispus,NA
 Chondrichthyes,Cartilaginous fishes nei ,Cartilaginous fishes nei - Chondrichthyes,NA
 Alosa caspia,Caspian shad ,Caspian shad - Alosa caspia,NA
 Caspialosa spp,Caspian shads ,Caspian shads - Caspialosa spp,NA
Cataetyx laticeps,Cataetyx laticeps,Cataetyx laticeps,NA
 Scyliorhinidae,"Catsharks etc, nei ","Catsharks etc, nei - Scyliorhinidae",NA
 Scyliorhinus spp,"Catsharks,Nursehounds, nei ","Catsharks,Nursehounds, nei - Scyliorhinus spp",NA
 Cephalopoda,Cephalopods nei ,Cephalopods nei - Cephalopoda,NA
 Circomphalus casinus,Chamber venus ,Chamber venus - Circomphalus casinus,NA
 Nassarius mutabilis,Changeable nassa ,Changeable nassa - Nassarius mutabilis,NA
 Salvelinus spp,Chars nei ,Chars nei - Salvelinus spp,NA
Cheilopogon heterurus,Cheilopogon heterurus,Cheilopogon heterurus,NA
 Chimaeriformes,"Chimaeras etc, nei ","Chimaeras etc, nei - Chimaeriformes",NA
 Eriocheir sinensis,Chinese river crab ,Chinese river crab - Eriocheir sinensis,NA
 leuciscus cepalus,Chub ,Chub - leuciscus cepalus,NA
 Scomber japonicus,Chub mackerel ,Chub mackerel - Scomber japonicus,NA
 Citharidae,Citharids nei ,Citharids nei - Citharidae,NA
 Bivalvia,"Clams etc, nei ","Clams etc, nei - Bivalvia",NA
"Clams, cockles, arkshells","Clams, cockles, arkshells","Clams, cockles, arkshells",NA
 Clupeoidei,Clupeoids nei ,Clupeoids nei - Clupeoidei,NA
 Rachycentron canadum,Cobia ,Cobia - Rachycentron canadum,NA
 Cardiidae,Cockles nei ,Cockles nei - Cardiidae,NA
"Cods, hakes, haddocks","Cods, hakes, haddocks","Cods, hakes, haddocks",NA
 Serranus cabrilla,Comber ,Comber - Serranus cabrilla,NA
 Serranus spp,Combers nei ,Combers nei - Serranus spp,NA
 Blenniidae,Combtooth blennies ,Combtooth blennies - Blenniidae,NA
 Epinephelus morrhua,Comet grouper ,Comet grouper - Epinephelus morrhua,NA
 Nezumia aequalis,Common Atlantic grenadier ,Common Atlantic grenadier - Nezumia aequalis,NA
 Lutjanus kasmira,Common bluestripe snapper ,Common bluestripe snapper - Lutjanus kasmira,NA
 Sepietta oweniana,Common bobtail squid ,Common bobtail squid - Sepietta oweniana,NA
 Cyprinus carpio,Common carp ,Common carp - Cyprinus carpio,NA
 Sepia officinalis,Common cuttlefish ,Common cuttlefish - Sepia officinalis,NA
 Limanda limanda,Common dab ,Common dab - Limanda limanda,NA
 Leuciscus leuciscus,Common dace ,Common dace - Leuciscus leuciscus,NA
 Dentex dentex,Common dentex ,Common dentex - Dentex dentex,NA
 Coryphaena hippurus,Common dolphinfish ,Common dolphinfish - Coryphaena hippurus,NA
 Myliobatis aquila,Common eagle ray ,Common eagle ray - Myliobatis aquila,NA
 Cerastoderma edule,Common edible cockle ,Common edible cockle - Cerastoderma edule,NA
 Glycymeris glycymeris,Common European bittersweet ,Common European bittersweet - Glycymeris glycymeris,NA
 Aurelia aurita,Common jellyfish ,Common jellyfish - Aurelia aurita,NA
 Mora moro,Common mora ,Common mora - Mora moro,NA
 Octopus vulgaris,Common octopus ,Common octopus - Octopus vulgaris,NA
 Pagellus erythrinus,Common pandora ,Common pandora - Pagellus erythrinus,NA
 Littorina littorea,Common periwinkle ,Common periwinkle - Littorina littorea,NA
 Pholas dactylus,Common piddock ,Common piddock - Pholas dactylus,NA
 Palaemon serratus,Common prawn ,Common prawn - Palaemon serratus,NA
 Crangon crangon,Common shrimp ,Common shrimp - Crangon crangon,NA
 Solea solea,Common sole ,Common sole - Solea solea,NA
 Palinurus elephas,Common spiny lobster ,Common spiny lobster - Palinurus elephas,NA
 Loligo spp,Common squids nei ,Common squids nei - Loligo spp,NA
 Dasyatis pastinaca,Common stingray ,Common stingray - Dasyatis pastinaca,NA
banded seabream ,Common two,Common two-banded seabream - Diplodus vulgaris,NA
 Congridae,"Conger eels etc, nei ","Conger eels etc, nei - Congridae",NA
 Conger spp,Conger eels nei ,Conger eels nei - Conger spp,NA
 Cephalopholis miniata,Coral hind ,Coral hind - Cephalopholis miniata,NA
Corals,Corals,Corals,NA
 Symphodus melops,Corkwing wrasse ,Corkwing wrasse - Symphodus melops,NA
 Venerupis corrugata,Corrugated venus ,Corrugated venus - Venerupis corrugata,NA
spiders,"Crabs, sea","Crabs, sea-spiders",NA
 Crangon spp,Crangon shrimps nei ,Crangon shrimps nei - Crangon spp,NA
 Crangonidae,Crangonid shrimps ,Crangonid shrimps - Crangonidae,NA
 Galatheidae,"Craylets,squat lobsters ","Craylets,squat lobsters - Galatheidae",NA
tail catsharks nei ,Crest,Crest-tail catsharks nei - Galeus spp,NA
 Caranx hippos,Crevalle jack ,Crevalle jack - Caranx hippos,NA
 Pristipomoides filamentosus,Crimson jobfish ,Crimson jobfish - Pristipomoides filamentosus,NA
 Sciaenidae,"Croakers,Drums, nei ","Croakers,Drums, nei - Sciaenidae",NA
 Pseudocarcharias kamoharai,Crocodile shark ,Crocodile shark - Pseudocarcharias kamoharai,NA
Crossocheilus latius,Crossocheilus latius,Crossocheilus latius,NA
 Carassius carassius,Crucian carp ,Crucian carp - Carassius carassius,NA
Crustaceans,Crustaceans,Crustaceans,290022
Crustaceans and molluscs,Crustaceans and molluscs,Crustaceans and molluscs,NA
 Raja naevus,Cuckoo ray ,Cuckoo ray - Raja naevus,NA
 Labrus bimaculatus,Cuckoo wrasse ,Cuckoo wrasse - Labrus bimaculatus,NA
 Crassostrea spp,Cupped oysters nei ,Cupped oysters nei - Crassostrea spp,NA
 Centracanthus cirrus,Curled picarel ,Curled picarel - Centracanthus cirrus,NA
" Sepiidae, Sepiolidae","Cuttlefish, Bobtail squids, nei ","Cuttlefish, Bobtail squids, nei - Sepiidae, Sepiolidae",NA
 Sepia spp,Cuttlefishes nei ,Cuttlefishes nei - Sepia spp,NA
 Chromis chromis,Damselfish ,Damselfish - Chromis chromis,NA
"sea crabs, geryons nei",Deep,"Deep-sea crabs, geryons nei",NA
sea red crab ,Deep,Deep-sea red crab - Chaceon affinis,NA
water Cape hake ,Deep,Deep-water Cape hake - Merluccius paradoxus,NA
water catsharks ,Deep,Deep-water catsharks - Apristurus spp,NA
water red snapper ,Deep,Deep-water red snapper - Etelis carbunculus,NA
 Bathysolea profundicola,Deep water sole ,Deep water sole - Bathysolea profundicola,NA
 Glossanodon semifasciatus,Deepsea smelt ,Deepsea smelt - Glossanodon semifasciatus,NA
 Etelis coruscans,Deepwater longtail red snapper ,Deepwater longtail red snapper - Etelis coruscans,NA
 Parapenaeus longirostris,Deepwater rose shrimp ,Deepwater rose shrimp - Parapenaeus longirostris,NA
 Palaemon longirostris,Delta prawn ,Delta prawn - Palaemon longirostris,NA
 Perciformes,Demersal percomorphs nei ,Demersal percomorphs nei - Perciformes,NA
 Perciformes,Pelagic percomorphs nei ,Pelagic percomorphs nei - Perciformes,NA
 Dentex spp,Dentex nei ,Dentex nei - Dentex spp,NA
 Mobula mobular,Devil fish ,Devil fish - Mobula mobular,NA
Diadromous fishes,Diadromous fishes,Diadromous fishes,100025
 Thysanoteuthis rhombus,Diamondback squid ,Diamondback squid - Thysanoteuthis rhombus,NA
Diploconger polystigmatus,Diploconger polystigmatus,Diploconger polystigmatus,NA
 Squaliformes,"Dogfish sharks etc, nei ","Dogfish sharks etc, nei - Squaliformes",NA
 Squalidae,Dogfish sharks nei ,Dogfish sharks nei - Squalidae,NA
 Squalus spp,Dogfishes nei ,Dogfishes nei - Squalus spp,NA
" Squalidae, Scyliorhinidae","Dogfishes,Hounds, nei ","Dogfishes,Hounds, nei - Squalidae, Scyliorhinidae",NA
 Epinephelus caninus,Dogtooth grouper ,Dogtooth grouper - Epinephelus caninus,NA
 Gymnosarda unicolor,Dogtooth tuna ,Dogtooth tuna - Gymnosarda unicolor,NA
Dolichosudis fuliginosa,Dolichosudis fuliginosa,Dolichosudis fuliginosa,NA
 Coryphaenidae,Dolphinfishes nei ,Dolphinfishes nei - Coryphaenidae,NA
 Donax spp,Donax clams ,Donax clams - Donax spp,NA
 Zeidae,Dories nei ,Dories nei - Zeidae,NA
 Callionymus lyra,Dragonet ,Dragonet - Callionymus lyra,NA
 Cubiceps gracilis,Driftfish ,Driftfish - Cubiceps gracilis,NA
 Umbrina spp,Drums nei ,Drums nei - Umbrina spp,NA
 Epinephelus marginatus,Dusky grouper ,Dusky grouper - Epinephelus marginatus,NA
 Carcharhinus obscurus,Dusky shark ,Dusky shark - Carcharhinus obscurus,NA
 Siganus luridus,Dusky spinefoot ,Dusky spinefoot - Siganus luridus,NA
 Sepiola rondeleti,Dwarf bobtail squid ,Dwarf bobtail squid - Sepiola rondeleti,NA
 Galeus schultzi,Dwarf sawtail catshark ,Dwarf sawtail catshark - Galeus schultzi,NA
 Myliobatidae,Eagle rays ,Eagle rays - Myliobatidae,NA
"Eared seals, hair seals, walruses","Eared seals, hair seals, walruses","Eared seals, hair seals, walruses",NA
 Echinodermata,Echinoderms ,Echinoderms - Echinodermata,NA
 Cancer pagurus,Edible crab ,Edible crab - Cancer pagurus,NA
 Zoarces viviparus,Eelpout ,Eelpout - Zoarces viviparus,NA
 Lycodes spp,Eelpouts ,Eelpouts - Lycodes spp,NA
 Torpedinidae,Electric rays nei ,Electric rays nei - Torpedinidae,NA
 Sepia elegans,Elegant cuttlefish ,Elegant cuttlefish - Sepia elegans,NA
Ellopostoma megalomycter,Ellopostoma megalomycter,Ellopostoma megalomycter,NA
Emerald wrasse,Emerald wrasse,Emerald wrasse,NA
 Lethrinidae,Emperors(=Scavengers) nei ,Emperors(=Scavengers) nei - Lethrinidae,NA
 Lepidocybium flavobrunneum,Escolar ,Escolar - Lepidocybium flavobrunneum,NA
 Engraulis encrasicolus,European anchovy ,European anchovy - Engraulis encrasicolus,NA
 Sphyraena sphyraena,European barracuda ,European barracuda - Sphyraena sphyraena,NA
 Alloteuthis subulata,European common squid ,European common squid - Alloteuthis subulata,NA
 Conger conger,European conger ,European conger - Conger conger,NA
urchin ,European edible sea,European edible sea-urchin - Echinus esculentus,NA
urchin ,Stony sea,Stony sea-urchin - Paracentrotus lividus,NA
 Anguilla anguilla,European eel ,European eel - Anguilla anguilla,NA
 Ostrea edulis,European flat oyster ,European flat oyster - Ostrea edulis,NA
 Platichthys flesus,European flounder ,European flounder - Platichthys flesus,NA
 Todarodes sagittatus,European flying squid ,European flying squid - Todarodes sagittatus,NA
 Merluccius merluccius,European hake ,European hake - Merluccius merluccius,NA
 Homarus gammarus,European lobster ,European lobster - Homarus gammarus,NA
 Perca fluviatilis,European perch ,European perch - Perca fluviatilis,NA
 Sardina pilchardus,European pilchard(=Sardine) ,European pilchard(=Sardine) - Sardina pilchardus,NA
 Pleuronectes platessa,European plaice ,European plaice - Pleuronectes platessa,NA
 Acanthocardia echinata,European prickly cockle ,European prickly cockle - Acanthocardia echinata,NA
 Solen marginatus,European razor clam ,European razor clam - Solen marginatus,NA
 Dicentrarchus labrax,European seabass ,European seabass - Dicentrarchus labrax,NA
