Species,TaxonKey
Bluespotted seabream - Sparus caeruleostictus,NA
"Blue-whales, fin-whales",NA
Bluntnose sixgill shark - Hexanchus griseus,NA
Boa dragonfish - Stomias boa,NA
Boarfish - Capros aper,NA
Boarfishes nei - Caproidae,NA
Bodianus spp,NA
Boe drum - Pteroscion peli,NA
Bogue - Boops boops,NA
Bonefish - Albula vulpes,NA
Bonitos nei - Sarda spp,NA
Box scallop - Minnivola pyxidata,NA
Boxlip mullet - Oedalechilus labeo,NA
Brachypterois serrulata,NA
Bramble shark - Echinorhinus brucus,NA
Brassy chub - Kyphosus vaigiensis,NA
Brazilian groupers nei - Mycteroperca spp,NA
Brill - Scophthalmus rhombus,NA
Bristlemouths - Gonostomatidae,NA
Brittle pen shell - Atrina fragilis,NA
Broadtail shortfin squi - Illex coindetii,NA
Brown comber - Serranus hepatus,NA
Brown meagre - Sciaena umbra,NA
Brown moray - Gymnothorax unicolor,NA
Brown ray - Raja miraletus,NA
Brown sea catfish - Selenaspis dowii,NA
Brown seaweeds,NA
Brown seaweeds - Phaeophyceae,NA
Brown smooth-hound - Mustelus henlei,NA
Brown wrasse - Labrus merula,NA
Bucchich's goby - Gobius bucchichi,NA
Bullet tuna - Auxis rochei,NA
Burbot - Lota lota,NA
"Butterfishes, Pomfrets, nei - Stromateidae",NA
Butterfly blenny - Blennius ocellaris,NA
Butterfly goby - Amblygobius albimaculatus,NA
Canary damsel - Abudefduf luridus,NA
Canary dentex - Dentex canariensis,NA
Canary drum (=Baardman) - Umbrina canariensis,NA
"Cape hakes - Merluccius capensis,M.paradox.",NA
Cape Hope squid - Loligo reynaudi,NA
Capelin - Mallotus villosus,NA
Caramote prawn - Penaeus kerathurus,NA
Carangids nei - Carangidae,NA
Carcinus crabs nei - Carcinus spp,NA
Cardinal fish - Apogon imberbis,NA
Cardinal fishes nei - Epigonus spp,NA
"Cardinalfishes etc, nei - Apogonidae",NA
Caribbean spiny lobster - Panulirus argus,NA
Carpet shell - Venerupis pullastra,NA
Carpet shells nei - Ruditapes spp,NA
"Carps, barbels and other cyprinids",NA
Carragheen (Irish moss) - Chondrus crispus,NA
Cartilaginous fishes nei - Chondrichthyes,NA
