"Species","CommonName","Name","TaxonKey"
"Gilchristella aestuarius","Gilchrist's round herring","Gilchrist's round herring - Gilchristella aestuarius",300028
"Gadiformes","Gadiformes nei","Gadiformes nei - Gadiformes",300044
"Cods, hakes, haddocks","Cods, hakes, haddocks","Cods, hakes, haddocks",300044
"Gadus spp","Northern cods nei","Northern cods nei - Gadus spp",300044
"Perciformes","Pelagic percomorphs nei","Pelagic percomorphs nei - Perciformes",300060
"Perciformes","Demersal percomorphs nei","Demersal percomorphs nei - Perciformes",300060
"Callionymus lyra","Dragonet","Dragonet - Callionymus lyra",300060
"Centracanthus cirrus","Curled picarel","Curled picarel - Centracanthus cirrus",300060
"Cubiceps gracilis","Driftfish","Driftfish - Cubiceps gracilis",300060
"Tetragonurus cuvieri","Smalleye squaretail","Smalleye squaretail - Tetragonurus cuvieri",300060
"Pleuronectiformes","Flatfishes nei","Flatfishes nei - Pleuronectiformes",300061
"Citharidae","Citharids nei","Citharids nei - Citharidae",300061
"Batoidimorpha (Hypotremata)","Batoid fishes nei","Batoid fishes nei - Batoidimorpha (Hypotremata)",300063
"Alloteuthis africana","African squid","African squid - Alloteuthis africana",390002
"Loliginidae, Ommastrephidae","Various squids nei","Various squids nei - Loliginidae, Ommastrephidae",390002
"Alloteuthis media","Midsize squid","Midsize squid - Alloteuthis media",390002
"Alloteuthis subulata","European common squid","European common squid - Alloteuthis subulata",390002
"armed squid","Long","Long-armed squid - Chiroteuthis veranyi",390002
"Illex spp","Shortfin squids nei","Shortfin squids nei - Illex spp",390002
"Ommastrephes caroli","Webbed flying squid","Webbed flying squid - Ommastrephes caroli",390002
"Ommastrephes pteropus","Orangeback flying squid","Orangeback flying squid - Ommastrephes pteropus",390002
"Ommastrephes spp","Flying squids nei","Flying squids nei - Ommastrephes spp",390002
"Sepietta oweniana","Common bobtail squid","Common bobtail squid - Sepietta oweniana",390002
"Sepiola bobtail squids nei","Sepiola bobtail squids nei","Sepiola bobtail squids nei",390002
"Sepiola rondeleti","Dwarf bobtail squid","Dwarf bobtail squid - Sepiola rondeleti",390002
"Thysanoteuthis rhombus","Diamondback squid","Diamondback squid - Thysanoteuthis rhombus",390002
"Todaropsis eblanae","Lesser flying squid","Lesser flying squid - Todaropsis eblanae",390002
"Sepiidae, Sepiolidae","Cuttlefish, Bobtail squids, nei ","Cuttlefish, Bobtail squids, nei - Sepiidae, Sepiolidae",390006
"Abalones, winkles, conchs","Abalones, winkles, conchs","Abalones, winkles, conchs",390011
"Arenaeus cribarius","Speckled swimcrab","Speckled swimcrab - Arenaeus cribarius",390013
