"Species","CommonName","Name","TaxonKey"
"Solea lascaris","Sand sole","Sand sole - Solea lascaris",601336
"Phycis blennoides","Greater forkbeard","Greater forkbeard - Phycis blennoides",601340
"Platichthys flesus","European flounder","European flounder - Platichthys flesus",601341
"Pleuronectes platessa","European plaice","European plaice - Pleuronectes platessa",601342
"Pollachius virens","Saithe(=Pollock)","Saithe(=Pollock) - Pollachius virens",601343
"Psetta maxima","Turbot","Turbot - Psetta maxima",601348
"Sardina pilchardus","European pilchard(=Sardine)","European pilchard(=Sardine) - Sardina pilchardus",601350
"Serranus cabrilla","Comber","Comber - Serranus cabrilla",601353
"Spondyliosoma cantharus","Black seabream","Black seabream - Spondyliosoma cantharus",601356
"Sprattus sprattus","European sprat","European sprat - Sprattus sprattus",601357
"Trachinus draco","Greater weever","Greater weever - Trachinus draco",601363
"Trachurus trachurus","Atlantic horse mackerel","Atlantic horse mackerel - Trachurus trachurus",601365
"Chelidonichthys lucerna","Tub gurnard","Tub gurnard - Chelidonichthys lucerna",601366
"Trisopterus luscus","Pouting (=Bib)","Pouting (=Bib) - Trisopterus luscus",601367
"Zeus faber","John dory","John dory - Zeus faber",601370
"Hippoglossus hippoglossus","Atlantic halibut","Atlantic halibut - Hippoglossus hippoglossus",601371
"Melanogrammus aeglefinus","Haddock","Haddock - Melanogrammus aeglefinus",601381
"Microstomus kitt","Lemon sole","Lemon sole - Microstomus kitt",601382
"Molva dypterygia","Blue ling","Blue ling - Molva dypterygia",601383
"Etelis coruscans","Deepwater longtail red snapper","Deepwater longtail red snapper - Etelis coruscans",601385
"Lutjanus argentiventris","Yellow snapper","Yellow snapper - Lutjanus argentiventris",601408
"Cyprinus carpio","Common carp","Common carp - Cyprinus carpio",601450
"eye round herring","Red","Red-eye round herring - Etrumeus teres",601455
"Sardinella gibbosa","Goldstripe sardinella","Goldstripe sardinella - Sardinella gibbosa",601508
"Alosa aestivalis","Blueback shad","Blueback shad - Alosa aestivalis",601574
"Alosa caspia","Caspian shad","Caspian shad - Alosa caspia",601577
"Alosa pseudoharengus","Alewife","Alewife - Alosa pseudoharengus",601583
"Ilisha africana","West African ilisha","West African ilisha - Ilisha africana",601625
"Anthias anthias","Swallowtail seaperch","Swallowtail seaperch - Anthias anthias",601692
"scale sand smelt","Big","Big-scale sand smelt - Atherina boyeri",601696
"Chromis chromis","Damselfish","Damselfish - Chromis chromis",601706
"Sciaena umbra","Brown meagre","Brown meagre - Sciaena umbra",601707
"scaled gurnard","Large","Large-scaled gurnard - Lepidotrigla cavillone",601722
"Muraena helena","Mediterranean moray","Mediterranean moray - Muraena helena",601729
"Gymnothorax unicolor","Brown moray","Brown moray - Gymnothorax unicolor",601730
"Mola mola","Ocean sunfish","Ocean sunfish - Mola mola",601732
"Molva macrophthalma","Spanish ling","Spanish ling - Molva macrophthalma",601733
"Molva macrophthalma","Spanish Ling","Spanish Ling - Molva macrophthalma",601733
"Mora moro","Common mora","Common mora - Mora moro",601734
"Liza aurata","Golden grey mullet","Golden grey mullet - Liza aurata",601735
"Liza saliens","Leaping mullet","Leaping mullet - Liza saliens",601736
"Phycis phycis","Forkbeard","Forkbeard - Phycis phycis",601747
"Diplodus puntazzo","Sharpsnout seabream","Sharpsnout seabream - Diplodus puntazzo",601749
"Diplodus annularis","Annular seabream","Annular seabream - Diplodus annularis",601752
"Diplodus sargus","White seabream","White seabream - Diplodus sargus",601753
"banded seabream","Common two","Common two-banded seabream - Diplodus vulgaris",601754
"Pagrus pagrus","Red porgy","Red porgy - Pagrus pagrus",601756
"Scorpaena porcus","Black scorpionfish","Black scorpionfish - Scorpaena porcus",601758
"Scorpaena scrofa","Red scorpionfish","Red scorpionfish - Scorpaena scrofa",601759
"Serranus scriba","Painted comber","Painted comber - Serranus scriba",601761
"Sphyraena sphyraena","European barracuda","European barracuda - Sphyraena sphyraena",601765
"Spicara smaris","Picarel","Picarel - Spicara smaris",601766
"Trachinotus ovatus","Pompano","Pompano - Trachinotus ovatus",601773
"Uranoscopus scaber","Stargazer","Stargazer - Uranoscopus scaber",601779
"Acanthurus monroviae","Monrovia doctorfish","Monrovia doctorfish - Acanthurus monroviae",601800
"Tetrapturus belone","Mediterranean spearfish","Mediterranean spearfish - Tetrapturus belone",601823
"water Cape hake","Deep","Deep-water Cape hake - Merluccius paradoxus",601826
"Lethrinus mahsena","Sky emperor","Sky emperor - Lethrinus mahsena",601843
"Alectis alexandrinus","Alexandria pompano","Alexandria pompano - Alectis alexandrinus",601888
"Campogramma glaycos","Vadigo","Vadigo - Campogramma glaycos",601894
"Caranx rhonchus","False scad","False scad - Caranx rhonchus",601899
"Carangoides fulvoguttatus","Yellowspotted trevally","Yellowspotted trevally - Carangoides fulvoguttatus",601926
"Caranx crysos","Blue runner","Blue runner - Caranx crysos",601933
"Antimora rostrata","Blue antimora","Blue antimora - Antimora rostrata",602005
"Pseudophycis bachus","Red codling","Red codling - Pseudophycis bachus",602020
"Raja batis","Blue skate","Blue skate - Raja batis",602058
"Raja clavata","Thornback ray","Thornback ray - Raja clavata",602059
"Dasyatis pastinaca","Common stingray","Common stingray - Dasyatis pastinaca",602060
"Acipenser sturio","Sturgeon","Sturgeon - Acipenser sturio",602066
"Huso huso","Beluga","Beluga - Huso huso",602067
"spined stickleback","Three","Three-spined stickleback - Gasterosteus aculeatus",602420
"Diplodus cervinus","Zebra seabream","Zebra seabream - Diplodus cervinus",602497
"Kyphosus sectatrix","Bermuda sea chub","Bermuda sea chub - Kyphosus sectatrix",602498
"Chelon labrosus","Thicklip grey mullet","Thicklip grey mullet - Chelon labrosus",602499
"Thalassoma pavo","Ornate wrasse","Ornate wrasse - Thalassoma pavo",602500
"Anarhichas lupus","Atlantic wolffish","Atlantic wolffish - Anarhichas lupus",602501
"Chimaera monstrosa","Rabbit fish","Rabbit fish - Chimaera monstrosa",602503
"Epigonus telescopus","Black cardinal fish","Black cardinal fish - Epigonus telescopus",602508
"Petromyzon marinus","Sea lamprey","Sea lamprey - Petromyzon marinus",602530
"Alopias superciliosus","Bigeye thresher","Bigeye thresher - Alopias superciliosus",602534
"Alopias vulpinus","Thresher","Thresher - Alopias vulpinus",602535
"hound","Brown smooth","Brown smooth-hound - Mustelus henlei",602540
"Dasyatis centroura","Roughtail stingray","Roughtail stingray - Dasyatis centroura",602572
"Gymnura altavela","Spiny butterfly ray","Spiny butterfly ray - Gymnura altavela",602577
"Hydrolagus spp","Ratfishes nei","Ratfishes nei - Hydrolagus spp",602589
"Argentina silus","Greater argentine","Greater argentine - Argentina silus",602700
"Leuciscus idus","Orfe (=Ide)","Orfe (=Ide) - Leuciscus idus",602801
"Scardinius erythrophthalmus","Rudd","Rudd - Scardinius erythrophthalmus",602951
"Rachycentron canadum","Cobia","Cobia - Rachycentron canadum",603542
"Anarhichas denticulatus","Northern wolffish","Northern wolffish - Anarhichas denticulatus",603810
"Anarhichas minor","Spotted wolffish","Spotted wolffish - Anarhichas minor",603811
"Tetrapturus angustirostris","Shortbill spearfish","Shortbill spearfish - Tetrapturus angustirostris",603915
"Trachyscorpia cristulata","Atlantic thornyhead","Atlantic thornyhead - Trachyscorpia cristulata",604011
"Triglopsis quadricornis","Fourhorn sculpin","Fourhorn sculpin - Triglopsis quadricornis",604122
"Hippoglossoides platessoides","American plaice(=Long rough dab)","American plaice(=Long rough dab) - Hippoglossoides platessoides",604239
"Raja naevus","Cuckoo ray","Cuckoo ray - Raja naevus",604326
"Raja montagui","Spotted ray","Spotted ray - Raja montagui",604329
"Myliobatis aquila","Common eagle ray","Common eagle ray - Myliobatis aquila",604330
"Gymnocephalus cernuu","Ruffe","Ruffe - Gymnocephalus cernuu",604474
"Dentex gibbosus","Pink dentex","Pink dentex - Dentex gibbosus",604536
"Dentex maroccanus","Morocco dentex","Morocco dentex - Dentex maroccanus",604538
"Dentex canariensis","Canary dentex","Canary dentex - Dentex canariensis",604539
"Sparus caeruleostictus","Bluespotted seabream","Bluespotted seabream - Sparus caeruleostictus",604540
"Siganus rivulatus","Marbled spinefoot","Marbled spinefoot - Siganus rivulatus",604545
"Umbrina canariensis","Canary drum (=Baardman)","Canary drum (=Baardman) - Umbrina canariensis",604548
"Raja brachyura","Blonde ray","Blonde ray - Raja brachyura",604552
"Trachyrincus scabrus","Roughsnout grenadier","Roughsnout grenadier - Trachyrincus scabrus",604556
"Xyrichtys novacula","Pearly razorfish","Pearly razorfish - Xyrichtys novacula",604581
"Labrus merula","Brown wrasse","Brown wrasse - Labrus merula",604582
"Liza ramada","Thinlip grey mullet","Thinlip grey mullet - Liza ramada",604583
"Siganus luridus","Dusky spinefoot","Dusky spinefoot - Siganus luridus",604613
"Galeorhinus galeus","Tope shark","Tope shark - Galeorhinus galeus",604642
"Pomadasys jubelini","Sompat grunt","Sompat grunt - Pomadasys jubelini",604708
"Aspius aspius","Asp","Asp - Aspius aspius",604783
"iuy mullet","So","So-iuy mullet - Mugil soiuy",604791
"Sphyraena jello","Pickhandle barracuda","Pickhandle barracuda - Sphyraena jello",604827
"Spicara maena","Blotched picarel","Blotched picarel - Spicara maena",604887
"Citharus linguatula","Spotted flounder","Spotted flounder - Citharus linguatula",604943
"Elops lacerta","West African ladyfish","West African ladyfish - Elops lacerta",604959
"Hoplostethus mediterraneus","Mediterranean slimehead","Mediterranean slimehead - Hoplostethus mediterraneus",604964
"hound","Smooth","Smooth-hound - Mustelus mustelus",604996
"Nezumia aequalis","Common Atlantic grenadier","Common Atlantic grenadier - Nezumia aequalis",604997
"Pomadasys incisus","Bastard grunt","Bastard grunt - Pomadasys incisus",605003
"Pontinus kuhlii","Offshore rockfish","Offshore rockfish - Pontinus kuhlii",605007
"Promethichthys prometheus","Roudi escolar","Roudi escolar - Promethichthys prometheus",605008
"Pseudotolithus senegallus","Law croaker","Law croaker - Pseudotolithus senegallus",605009
"Raja miraletus","Brown ray","Brown ray - Raja miraletus",605014
"Trigla lyra","Piper gurnard","Piper gurnard - Trigla lyra",605038
"Pagrus auriga","Redbanded seabream","Redbanded seabream - Pagrus auriga",605066
"Psettodes bennettii","Spiny turbot","Spiny turbot - Psettodes bennettii",605068
"head","Risso's smooth","Risso's smooth-head - Alepocephalus rostratus",605071
"Chelidonichthys lastoviza","Streaked gurnard","Streaked gurnard - Chelidonichthys lastoviza",605081
"Lophius budegassa","Blackbellied angler","Blackbellied angler - Lophius budegassa",605094
"Borostomias antarcticus","Snaggletooth","Snaggletooth - Borostomias antarcticus",605098
"Epinephelus fasciatus","Blacktip grouper","Blacktip grouper - Epinephelus fasciatus",605348
"Epinephelus morrhua","Comet grouper","Comet grouper - Epinephelus morrhua",605353
"edged lyretail","Yellow","Yellow-edged lyretail - Variola louti",605354
"Alosa fallax","Twaite shad","Twaite shad - Alosa fallax",605355
"Halobatrachus didactylus","Lusitanian toadfish","Lusitanian toadfish - Halobatrachus didactylus",605429
"Fistularia commersonii","Bluespotted cornetfish","Bluespotted cornetfish - Fistularia commersonii",605444
"eyed ray","Small","Small-eyed ray - Raja microocellata",605492
"Kyphosus vaigiensis","Brassy chub","Brassy chub - Kyphosus vaigiensis",605806
"Pseudocarcharias kamoharai","Crocodile shark","Crocodile shark - Pseudocarcharias kamoharai",605923
"hound","Spotted estuary smooth","Spotted estuary smooth-hound - Mustelus lenticulatus",605933
"Mustelus asterias","Starry smoothhound","Starry smoothhound - Mustelus asterias",605938
"Mulloidichthys flavolineatus","Yellowstripe goatfish","Yellowstripe goatfish - Mulloidichthys flavolineatus",605983
"Raja lintea","Sailray","Sailray - Raja lintea",606422
"Cephalopholis miniata","Coral hind","Coral hind - Cephalopholis miniata",606450
"Cephalopholis sonnerati","Tomato hind","Tomato hind - Cephalopholis sonnerati",606454
"Epinephelus marginatus","Dusky grouper","Dusky grouper - Epinephelus marginatus",606470
"Raja georgiana","Antarctic starry skate","Antarctic starry skate - Raja georgiana",606953
"Muraenolepis microps","Smalleye moray cod","Smalleye moray cod - Muraenolepis microps",607126
"Balistes capriscus","Grey triggerfish","Grey triggerfish - Balistes capriscus",607327
"Polymixia nobilis","Stout beardfish","Stout beardfish - Polymixia nobilis",607557
"Raja alba","White skate","White skate - Raja alba",607613
"Raja circularis","Sandy ray","Sandy ray - Raja circularis",607614
"Raja oxyrinchus","Longnosed skate","Longnosed skate - Raja oxyrinchus",607616
"Raja undulata","Undulate ray","Undulate ray - Raja undulata",607617
"Mobula mobular","Devil fish","Devil fish - Mobula mobular",607618
"Raja fullonica","Shagreen ray","Shagreen ray - Raja fullonica",607619
"Sorsogona prionota","Halfspined flathead","Halfspined flathead - Sorsogona prionota",607897
"Parapristipoma octolinea","African striped grunt","African striped grunt - Parapristipoma octolinea",608092
"Aphanopus intermedius","Intermediate scabbardfish","Intermediate scabbardfish - Aphanopus intermedius",608540
"Solea senegalensis","Senegalese sole","Senegalese sole - Solea senegalensis",608852
"Raja nidarosiensis","Norwegian skate","Norwegian skate - Raja nidarosiensis",608900
"Raja asterias","Mediterranean starry ray","Mediterranean starry ray - Raja asterias",608924
"Spectrunculus grandis","Spectrunculus grandis","Spectrunculus grandis",608991
"eyed rabbitfish","Large","Large-eyed rabbitfish - Hydrolagus mirabilis",609000
"Rhinochimaera atlantica","Straightnose rabbitfish","Straightnose rabbitfish - Rhinochimaera atlantica",609005
"Gymnothorax maderensis","Sharktooth moray","Sharktooth moray - Gymnothorax maderensis",609033
"Epinephelus caninus","Dogtooth grouper","Dogtooth grouper - Epinephelus caninus",609217
"Raja hyperborea","Arctic skate","Arctic skate - Raja hyperborea",609256
"Patagonotothen ramsayi","Longtail Southern cod","Longtail Southern cod - Patagonotothen ramsayi",610308
"Abudefduf luridus","Canary damsel","Canary damsel - Abudefduf luridus",611820
"Sparisoma cretense","Parrotfish","Parrotfish - Sparisoma cretense",613025
"Glaucosoma hebraicum","Westralian jewfish","Westralian jewfish - Glaucosoma hebraicum",614956
"Mesogobius batrachocephalus","Knout goby","Knout goby - Mesogobius batrachocephalus",616305
"Trachyscorpia echinata","Spiny scorpionfish","Spiny scorpionfish - Trachyscorpia echinata",617286
"Pandalus montagui","Aesop shrimp","Aesop shrimp - Pandalus montagui",690003
"Illex argentinus","Argentine shortfin squid","Argentine shortfin squid - Illex argentinus",690023
"Argopecten irradians","Atlantic bay scallop","Atlantic bay scallop - Argopecten irradians",690030
"Xiphopenaeus kroyeri","Atlantic seabob","Atlantic seabob - Xiphopenaeus kroyeri",690032
"Spisula solidissima","Surf clam","Surf clam - Spisula solidissima",690033
"Mitella pollicipes","Barnacle","Barnacle - Mitella pollicipes",690043
"Aristeus antennatus","Blue and red shrimp","Blue and red shrimp - Aristeus antennatus",690051
"Mytilus edulis","Blue mussel","Blue mussel - Mytilus edulis",690053
"Illex coindetii","Broadtail shortfin squi","Broadtail shortfin squi - Illex coindetii",690059
"Loligo vulgaris","European squid","European squid - Loligo vulgaris",690067
"Panulirus argus","Caribbean spiny lobster","Caribbean spiny lobster - Panulirus argus",690071
"Sepia officinalis","Common cuttlefish","Common cuttlefish - Sepia officinalis",690085
"Octopus vulgaris","Common octopus","Common octopus - Octopus vulgaris",690088
"Littorina littorea","Common periwinkle","Common periwinkle - Littorina littorea",690089
"Palaemon serratus","Common prawn","Common prawn - Palaemon serratus",690090
"Crangon crangon","Common shrimp","Common shrimp - Crangon crangon",690091
"Palinurus elephas","Common spiny lobster","Common spiny lobster - Palinurus elephas",690092
"Parapenaeus longirostris","Deepwater rose shrimp","Deepwater rose shrimp - Parapenaeus longirostris",690109
"Cancer pagurus","Edible crab","Edible crab - Cancer pagurus",690119
"urchin","European edible sea","European edible sea-urchin - Echinus esculentus",690122
"Ostrea edulis","European flat oyster","European flat oyster - Ostrea edulis",690123
"Todarodes sagittatus","European flying squid","European flying squid - Todarodes sagittatus",690124
"Homarus gammarus","European lobster","European lobster - Homarus gammarus",690125
"Solen marginatus","European razor clam","European razor clam - Solen marginatus",690126
"Penaeus monodon","Giant tiger prawn","Giant tiger prawn - Penaeus monodon",690151
"Pecten maximus","Great Atlantic scallop","Great Atlantic scallop - Pecten maximus",690156
"Pecten jacobaeus","Great Mediterranean scallop","Great Mediterranean scallop - Pecten jacobaeus",690157
"Carcinus maenas","Green crab","Green crab - Carcinus maenas",690158
"Tapes decussatus","Grooved carpet shell","Grooved carpet shell - Tapes decussatus",690166
"squirt","Grooved sea","Grooved sea-squirt - Microcosmus sulcatus",690167
"Chlamys islandica","Icelandic scallop","Icelandic scallop - Chlamys islandica",690185
"Ruditapes philippinarum","Japanese carpet shell","Japanese carpet shell - Ruditapes philippinarum",690196
"Corbicula manilensis","Manila clam","Manila clam - Corbicula manilensis",690233
"Mytilus galloprovincialis","Mediterranean mussel","Mediterranean mussel - Mytilus galloprovincialis",690241
"Carcinus aestuarii","Mediterranean shore craB","Mediterranean shore craB - Carcinus aestuarii",690242
"Pecten novaezelandiae","New Zealand scallop","New Zealand scallop - Pecten novaezelandiae",690259
"Pandalus borealis","Northern prawn","Northern prawn - Pandalus borealis",690269
"Mercenaria mercenaria","Northern quahog(=Hard clam)","Northern quahog(=Hard clam) - Mercenaria mercenaria",690270
"Illex illecebrosus","Northern shortfin squid","Northern shortfin squid - Illex illecebrosus",690271
"Nephrops norvegicus","Norway lobster","Norway lobster - Nephrops norvegicus",690273
"Arctica islandica","Ocean quahog","Ocean quahog - Arctica islandica",690275
"Crassostrea gigas","Pacific cupped oyster","Pacific cupped oyster - Crassostrea gigas",690283
"Loligo gahi","Patagonian squid","Patagonian squid - Loligo gahi",690296
"Palinurus mauritanicus","Pink spiny lobster","Pink spiny lobster - Palinurus mauritanicus",690305
"Chionoecetes opilio","Queen crab","Queen crab - Chionoecetes opilio",690313
"Asterias rubens","Red starfish","Red starfish - Asterias rubens",690324
"Panulirus regius","Royal spiny lobster","Royal spiny lobster - Panulirus regius",690336
"Mya arenaria","Soft clam","Soft clam - Mya arenaria",690337
"Plesiopenaeus edwardsian","Scarlet shrimp","Scarlet shrimp - Plesiopenaeus edwardsian",690343
"Martialia hyadesi","Sevenstar flying squid","Sevenstar flying squid - Martialia hyadesi",690354
"Maja squinado","Spinous spider crab","Spinous spider crab - Maja squinado",690387
"Squilla mantis","Spottail mantis squillid","Spottail mantis squillid - Squilla mantis",690392
"Lithodes maia","Stone king crab","Stone king crab - Lithodes maia",690399
"urchin","Stony sea","Stony sea-urchin - Paracentrotus lividus",690400
"Aristeus varidens","Striped red shrimp","Striped red shrimp - Aristeus varidens",690403
"Chamelea gallina","Striped venus","Striped venus - Chamelea gallina",690404
"Haliotis tuberculata","Tuberculate abalone","Tuberculate abalone - Haliotis tuberculata",690420
"Necora puber","Velvet swimcrab","Velvet swimcrab - Necora puber",690425
"Patinopecten caurinus","Weathervane scallop","Weathervane scallop - Patinopecten caurinus",690429
"Buccinum undatum","Whelk","Whelk - Buccinum undatum",690434
"Ommastrephes bartrami","Neon flying squid","Neon flying squid - Ommastrephes bartrami",690470
"Loligo forbesi","Veined squid","Veined squid - Loligo forbesi",690595
"Scyllarides latus","Mediterranean slipper lobster","Mediterranean slipper lobster - Scyllarides latus",690598
"Cerastoderma edule","Common edible cockle","Common edible cockle - Cerastoderma edule",690605
"Paralithodes camtschaticus","Red king crab","Red king crab - Paralithodes camtschaticus",690621
"Venerupis pullastra","Carpet shell","Carpet shell - Venerupis pullastra",690630
"Spisula ovalis","Oval surf clam","Oval surf clam - Spisula ovalis",690631
"Spisula solida","Solid surf clam","Solid surf clam - Spisula solida",690671
"Venerupis rhomboides","Banded carpet shell","Banded carpet shell - Venerupis rhomboides",690675
"leg swimcrab","Blue","Blue-leg swimcrab - Liocarcinus depurator",690676
"Glycymeris glycymeris","Common European bittersweet","Common European bittersweet - Glycymeris glycymeris",690678
"Palaemon longirostris","Delta prawn","Delta prawn - Palaemon longirostris",690680
"Aristaeomorpha foliacea","Giant red shrimp","Giant red shrimp - Aristaeomorpha foliacea",690683
"Eledone cirrosa","Horned octopus","Horned octopus - Eledone cirrosa",690684
"Charonia rubicunda","Knobbed triton","Knobbed triton - Charonia rubicunda",690685
"Scrobicularia plana","Peppery furrow","Peppery furrow - Scrobicularia plana",690687
"Bolinus brandaris","Purple dye murex","Purple dye murex - Bolinus brandaris",690689
"Callista chione","Smooth callista","Smooth callista - Callista chione",690690
"Venus verrucosa","Warty venus","Warty venus - Venus verrucosa",690693
"Acanthocardia tuberculata","Tuberculate cockle","Tuberculate cockle - Acanthocardia tuberculata",690752
"sea red crab","Deep","Deep-sea red crab - Chaceon affinis",690753
"Ensis ensis","Pod razor shell","Pod razor shell - Ensis ensis",690754
"Ensis siliqua","Sword razor shell","Sword razor shell - Ensis siliqua",690755
"Laevicardium crassum","Norwegian egg cockle","Norwegian egg cockle - Laevicardium crassum",690756
"Palaemonetes varians","Atlantic ditch shrimp","Atlantic ditch shrimp - Palaemonetes varians",690758
"Pharus legumen","Bean solen","Bean solen - Pharus legumen",690759
"Ranina ranina","Spanner crab","Spanner crab - Ranina ranina",690883
"Rapana venosa","Thomas' rapa whelk","Thomas' rapa whelk - Rapana venosa",690897
