"FlagCountry","variable","value","Unit","Species","Landed.Country"
"Finland","2012","1474","Tonnes product weight","Carps, barbels and other cyprinids","Finland"
"Finland","2013","1524","Tonnes product weight","Carps, barbels and other cyprinids","Finland"
"Finland","2007","2878660","Euro","Miscellaneous freshwater fishes","Finland"
"Finland","2008","2831603","Euro","Miscellaneous freshwater fishes","Finland"
"Finland","2009","2965350","Euro","Miscellaneous freshwater fishes","Finland"
"Finland","2010","3688256","Euro","Miscellaneous freshwater fishes","Finland"
"Finland","2011","4599561","Euro","Miscellaneous freshwater fishes","Finland"
"Finland","2012","4151877","Euro","Miscellaneous freshwater fishes","Finland"
"Finland","2013","3886263","Euro","Miscellaneous freshwater fishes","Finland"
"Finland","2007","1477","Tonnes product weight","Miscellaneous freshwater fishes","Finland"
"Finland","2008","1343","Tonnes product weight","Miscellaneous freshwater fishes","Finland"
"Finland","2009","1199","Tonnes product weight","Miscellaneous freshwater fishes","Finland"
"Finland","2010","1372","Tonnes product weight","Miscellaneous freshwater fishes","Finland"
"Finland","2011","1690","Tonnes product weight","Miscellaneous freshwater fishes","Finland"
"Finland","2012","1650","Tonnes product weight","Miscellaneous freshwater fishes","Finland"
"Finland","2013","1442","Tonnes product weight","Miscellaneous freshwater fishes","Finland"
"Finland","2007","3364822","Euro","Diadromous fishes","Finland"
"Finland","2008","4127609","Euro","Diadromous fishes","Finland"
"Finland","2009","4593497","Euro","Diadromous fishes","Finland"
"Finland","2010","4543484","Euro","Diadromous fishes","Finland"
"Finland","2011","5448929","Euro","Diadromous fishes","Finland"
"Finland","2012","4367402","Euro","Diadromous fishes","Finland"
"Finland","2013","5254862","Euro","Diadromous fishes","Finland"
"Finland","2007","1192","Tonnes product weight","Diadromous fishes","Finland"
"Finland","2008","1185","Tonnes product weight","Diadromous fishes","Finland"
"Finland","2009","1206","Tonnes product weight","Diadromous fishes","Finland"
"Finland","2010","1515","Tonnes product weight","Diadromous fishes","Finland"
"Finland","2011","2107","Tonnes product weight","Diadromous fishes","Finland"
"Finland","2012","1690","Tonnes product weight","Diadromous fishes","Finland"
"Finland","2013","2154","Tonnes product weight","Diadromous fishes","Finland"
"Finland","2007","3364822","Euro","Salmons, trouts, smelts","Finland"
"Finland","2008","4127609","Euro","Salmons, trouts, smelts","Finland"
"Finland","2009","4593497","Euro","Salmons, trouts, smelts","Finland"
"Finland","2010","4543484","Euro","Salmons, trouts, smelts","Finland"
"Finland","2011","5448929","Euro","Salmons, trouts, smelts","Finland"
"Finland","2012","4367402","Euro","Salmons, trouts, smelts","Finland"
"Finland","2013","5254862","Euro","Salmons, trouts, smelts","Finland"
"Finland","2007","1192","Tonnes product weight","Salmons, trouts, smelts","Finland"
"Finland","2008","1185","Tonnes product weight","Salmons, trouts, smelts","Finland"
"Finland","2009","1206","Tonnes product weight","Salmons, trouts, smelts","Finland"
"Finland","2010","1515","Tonnes product weight","Salmons, trouts, smelts","Finland"
"Finland","2011","2107","Tonnes product weight","Salmons, trouts, smelts","Finland"
"Finland","2012","1690","Tonnes product weight","Salmons, trouts, smelts","Finland"
"Finland","2013","2154","Tonnes product weight","Salmons, trouts, smelts","Finland"
"Finland","2007","11277035","Euro","Marine fishes","Finland"
"Finland","2008","12086820","Euro","Marine fishes","Finland"
"Finland","2009","10301442","Euro","Marine fishes","Finland"
"Finland","2010","10838335","Euro","Marine fishes","Finland"
"Finland","2011","13764585","Euro","Marine fishes","Finland"
"Finland","2012","20224922","Euro","Marine fishes","Finland"
"Finland","2013","25509284","Euro","Marine fishes","Finland"
"Finland","2007","89439","Tonnes product weight","Marine fishes","Finland"
"Finland","2008","87588","Tonnes product weight","Marine fishes","Finland"
"Finland","2009","81408","Tonnes product weight","Marine fishes","Finland"
"Finland","2010","79105","Tonnes product weight","Marine fishes","Finland"
"Finland","2011","73343","Tonnes product weight","Marine fishes","Finland"
"Finland","2012","97981","Tonnes product weight","Marine fishes","Finland"
"Finland","2013","104657","Tonnes product weight","Marine fishes","Finland"
"Finland","2007","17080","Euro","Flounders, halibuts, soles","Finland"
"Finland","2008","20121","Euro","Flounders, halibuts, soles","Finland"
"Finland","2009","28482","Euro","Flounders, halibuts, soles","Finland"
"Finland","2010","31895","Euro","Flounders, halibuts, soles","Finland"
"Finland","2011","29461","Euro","Flounders, halibuts, soles","Finland"
"Finland","2012","23271","Euro","Flounders, halibuts, soles","Finland"
"Finland","2013","29113","Euro","Flounders, halibuts, soles","Finland"
"Finland","2007","8","Tonnes product weight","Flounders, halibuts, soles","Finland"
"Finland","2008","7","Tonnes product weight","Flounders, halibuts, soles","Finland"
"Finland","2009","9","Tonnes product weight","Flounders, halibuts, soles","Finland"
"Finland","2010","11","Tonnes product weight","Flounders, halibuts, soles","Finland"
"Finland","2011","9","Tonnes product weight","Flounders, halibuts, soles","Finland"
"Finland","2012","4","Tonnes product weight","Flounders, halibuts, soles","Finland"
"Finland","2013","6","Tonnes product weight","Flounders, halibuts, soles","Finland"
"Finland","2009","30042","Euro","Cods, hakes, haddocks","Finland"
"Finland","2010","2496","Euro","Cods, hakes, haddocks","Finland"
"Finland","2011","10759","Euro","Cods, hakes, haddocks","Finland"
"Finland","2012","14250","Euro","Cods, hakes, haddocks","Finland"
"Finland","2013","221667","Euro","Cods, hakes, haddocks","Finland"
"Finland","2009","10","Tonnes product weight","Cods, hakes, haddocks","Finland"
"Finland","2010","1","Tonnes product weight","Cods, hakes, haddocks","Finland"
"Finland","2011","4","Tonnes product weight","Cods, hakes, haddocks","Finland"
"Finland","2012","6","Tonnes product weight","Cods, hakes, haddocks","Finland"
"Finland","2013","74","Tonnes product weight","Cods, hakes, haddocks","Finland"
"Finland","2007","11216729","Euro","Herrings, sardines, anchovies","Finland"
"Finland","2008","12057235","Euro","Herrings, sardines, anchovies","Finland"
"Finland","2009","10227954","Euro","Herrings, sardines, anchovies","Finland"
"Finland","2010","10793850","Euro","Herrings, sardines, anchovies","Finland"
"Finland","2011","13565293","Euro","Herrings, sardines, anchovies","Finland"
"Finland","2012","20082591","Euro","Herrings, sardines, anchovies","Finland"
"Finland","2013","25147792","Euro","Herrings, sardines, anchovies","Finland"
"Finland","2007","89378","Tonnes product weight","Herrings, sardines, anchovies","Finland"
"Finland","2008","87463","Tonnes product weight","Herrings, sardines, anchovies","Finland"
"Finland","2009","81310","Tonnes product weight","Herrings, sardines, anchovies","Finland"
"Finland","2010","78995","Tonnes product weight","Herrings, sardines, anchovies","Finland"
"Finland","2011","73167","Tonnes product weight","Herrings, sardines, anchovies","Finland"
"Finland","2012","97858","Tonnes product weight","Herrings, sardines, anchovies","Finland"
"Finland","2013","104470","Tonnes product weight","Herrings, sardines, anchovies","Finland"
"Finland","2007","43226","Euro","Marine fishes not identified","Finland"
"Finland","2008","9464","Euro","Marine fishes not identified","Finland"
"Finland","2009","14964","Euro","Marine fishes not identified","Finland"
"Finland","2010","10094","Euro","Marine fishes not identified","Finland"
"Finland","2011","159072","Euro","Marine fishes not identified","Finland"
"Finland","2012","104811","Euro","Marine fishes not identified","Finland"
"Finland","2013","110712","Euro","Marine fishes not identified","Finland"
"Finland","2007","53","Tonnes product weight","Marine fishes not identified","Finland"
"Finland","2008","118","Tonnes product weight","Marine fishes not identified","Finland"
"Finland","2009","79","Tonnes product weight","Marine fishes not identified","Finland"
"Finland","2010","98","Tonnes product weight","Marine fishes not identified","Finland"
"Finland","2011","163","Tonnes product weight","Marine fishes not identified","Finland"
"Finland","2012","113","Tonnes product weight","Marine fishes not identified","Finland"
"Finland","2013","107","Tonnes product weight","Marine fishes not identified","Finland"
"Finland","2009","30042","Euro","Atlantic cod - Gadus morhua","Finland"
"Finland","2010","2496","Euro","Atlantic cod - Gadus morhua","Finland"
"Finland","2011","10759","Euro","Atlantic cod - Gadus morhua","Finland"
"Finland","2012","14250","Euro","Atlantic cod - Gadus morhua","Finland"
"Finland","2013","221667","Euro","Atlantic cod - Gadus morhua","Finland"
"Finland","2009","10","Tonnes product weight","Atlantic cod - Gadus morhua","Finland"
"Finland","2010","1","Tonnes product weight","Atlantic cod - Gadus morhua","Finland"
"Finland","2011","4","Tonnes product weight","Atlantic cod - Gadus morhua","Finland"
"Finland","2012","6","Tonnes product weight","Atlantic cod - Gadus morhua","Finland"
"Finland","2013","74","Tonnes product weight","Atlantic cod - Gadus morhua","Finland"
"Finland","2007","55071","Euro","Freshwater bream - Abramis brama","Finland"
"Finland","2008","84224","Euro","Freshwater bream - Abramis brama","Finland"
"Finland","2009","137970","Euro","Freshwater bream - Abramis brama","Finland"
"Finland","2010","260610","Euro","Freshwater bream - Abramis brama","Finland"
"Finland","2011","385840","Euro","Freshwater bream - Abramis brama","Finland"
"Finland","2012","217526","Euro","Freshwater bream - Abramis brama","Finland"
"Finland","2013","330057","Euro","Freshwater bream - Abramis brama","Finland"
"Finland","2007","153","Tonnes product weight","Freshwater bream - Abramis brama","Finland"
"Finland","2008","313","Tonnes product weight","Freshwater bream - Abramis brama","Finland"
"Finland","2009","332","Tonnes product weight","Freshwater bream - Abramis brama","Finland"
"Finland","2010","741","Tonnes product weight","Freshwater bream - Abramis brama","Finland"
"Finland","2011","742","Tonnes product weight","Freshwater bream - Abramis brama","Finland"
"Finland","2012","814","Tonnes product weight","Freshwater bream - Abramis brama","Finland"
"Finland","2013","965","Tonnes product weight","Freshwater bream - Abramis brama","Finland"
"Finland","2007","151632","Euro","Burbot - Lota lota","Finland"
"Finland","2008","134984","Euro","Burbot - Lota lota","Finland"
"Finland","2009","230408","Euro","Burbot - Lota lota","Finland"
"Finland","2010","276413","Euro","Burbot - Lota lota","Finland"
"Finland","2011","259770","Euro","Burbot - Lota lota","Finland"
"Finland","2012","213575","Euro","Burbot - Lota lota","Finland"
"Finland","2013","278376","Euro","Burbot - Lota lota","Finland"
"Finland","2007","43","Tonnes product weight","Burbot - Lota lota","Finland"
"Finland","2008","36","Tonnes product weight","Burbot - Lota lota","Finland"
"Finland","2009","58","Tonnes product weight","Burbot - Lota lota","Finland"
"Finland","2010","63","Tonnes product weight","Burbot - Lota lota","Finland"
"Finland","2011","55","Tonnes product weight","Burbot - Lota lota","Finland"
"Finland","2012","45","Tonnes product weight","Burbot - Lota lota","Finland"
"Finland","2013","58","Tonnes product weight","Burbot - Lota lota","Finland"
"Finland","2007","21989","Euro","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2008","4712","Euro","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2009","3930","Euro","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2010","5536","Euro","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2011","13765","Euro","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2012","7698","Euro","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2013","8943","Euro","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2007","206","Tonnes product weight","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2008","30","Tonnes product weight","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2009","26","Tonnes product weight","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2010","29","Tonnes product weight","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2011","42","Tonnes product weight","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2012","32","Tonnes product weight","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2013","32","Tonnes product weight","Orfe (=Ide) - Leuciscus idus","Finland"
"Finland","2007","43226","Euro","Finfishes nei - Osteichthyes","Finland"
"Finland","2008","9464","Euro","Finfishes nei - Osteichthyes","Finland"
"Finland","2009","14964","Euro","Finfishes nei - Osteichthyes","Finland"
"Finland","2010","10094","Euro","Finfishes nei - Osteichthyes","Finland"
"Finland","2011","159072","Euro","Finfishes nei - Osteichthyes","Finland"
"Finland","2012","104811","Euro","Finfishes nei - Osteichthyes","Finland"
"Finland","2013","110712","Euro","Finfishes nei - Osteichthyes","Finland"
"Finland","2007","53","Tonnes product weight","Finfishes nei - Osteichthyes","Finland"
"Finland","2008","118","Tonnes product weight","Finfishes nei - Osteichthyes","Finland"
"Finland","2009","79","Tonnes product weight","Finfishes nei - Osteichthyes","Finland"
"Finland","2010","98","Tonnes product weight","Finfishes nei - Osteichthyes","Finland"
"Finland","2011","163","Tonnes product weight","Finfishes nei - Osteichthyes","Finland"
"Finland","2012","113","Tonnes product weight","Finfishes nei - Osteichthyes","Finland"
"Finland","2013","107","Tonnes product weight","Finfishes nei - Osteichthyes","Finland"
"Finland","2009","28482","Euro","European flounder - Platichthys flesus","Finland"
"Finland","2010","31895","Euro","European flounder - Platichthys flesus","Finland"
"Finland","2011","29461","Euro","European flounder - Platichthys flesus","Finland"
"Finland","2012","23271","Euro","European flounder - Platichthys flesus","Finland"
"Finland","2013","29113","Euro","European flounder - Platichthys flesus","Finland"
"Finland","2009","9","Tonnes product weight","European flounder - Platichthys flesus","Finland"
"Finland","2010","11","Tonnes product weight","European flounder - Platichthys flesus","Finland"
"Finland","2011","9","Tonnes product weight","European flounder - Platichthys flesus","Finland"
"Finland","2012","4","Tonnes product weight","European flounder - Platichthys flesus","Finland"
"Finland","2013","6","Tonnes product weight","European flounder - Platichthys flesus","Finland"
"Finland","2007","1029710","Euro","European perch - Perca fluviatilis","Finland"
"Finland","2008","1113296","Euro","European perch - Perca fluviatilis","Finland"
"Finland","2009","935110","Euro","European perch - Perca fluviatilis","Finland"
"Finland","2010","1253476","Euro","European perch - Perca fluviatilis","Finland"
"Finland","2011","1664470","Euro","European perch - Perca fluviatilis","Finland"
"Finland","2012","1837356","Euro","European perch - Perca fluviatilis","Finland"
"Finland","2013","1657065","Euro","European perch - Perca fluviatilis","Finland"
"Finland","2007","872","Tonnes product weight","European perch - Perca fluviatilis","Finland"
"Finland","2008","827","Tonnes product weight","European perch - Perca fluviatilis","Finland"
"Finland","2009","633","Tonnes product weight","European perch - Perca fluviatilis","Finland"
"Finland","2010","741","Tonnes product weight","European perch - Perca fluviatilis","Finland"
"Finland","2011","936","Tonnes product weight","European perch - Perca fluviatilis","Finland"
"Finland","2012","1020","Tonnes product weight","European perch - Perca fluviatilis","Finland"
"Finland","2013","833","Tonnes product weight","European perch - Perca fluviatilis","Finland"
"Finland","2007","179195","Euro","Northern pike - Esox lucius","Finland"
"Finland","2008","189153","Euro","Northern pike - Esox lucius","Finland"
"Finland","2009","236540","Euro","Northern pike - Esox lucius","Finland"
"Finland","2010","282729","Euro","Northern pike - Esox lucius","Finland"
"Finland","2011","306723","Euro","Northern pike - Esox lucius","Finland"
"Finland","2012","322249","Euro","Northern pike - Esox lucius","Finland"
"Finland","2013","376790","Euro","Northern pike - Esox lucius","Finland"
"Finland","2007","168","Tonnes product weight","Northern pike - Esox lucius","Finland"
"Finland","2008","173","Tonnes product weight","Northern pike - Esox lucius","Finland"
"Finland","2009","201","Tonnes product weight","Northern pike - Esox lucius","Finland"
"Finland","2010","217","Tonnes product weight","Northern pike - Esox lucius","Finland"
"Finland","2011","216","Tonnes product weight","Northern pike - Esox lucius","Finland"
"Finland","2012","218","Tonnes product weight","Northern pike - Esox lucius","Finland"
"Finland","2013","243","Tonnes product weight","Northern pike - Esox lucius","Finland"
"Finland","2007","1518123","Euro","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2008","1394171","Euro","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2009","1563293","Euro","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2010","1875639","Euro","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2011","2368598","Euro","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2012","1778697","Euro","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2013","1574032","Euro","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2007","394","Tonnes product weight","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2008","308","Tonnes product weight","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2009","307","Tonnes product weight","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2010","351","Tonnes product weight","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2011","483","Tonnes product weight","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2012","366","Tonnes product weight","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2013","308","Tonnes product weight","Pike-perch - Stizostedion lucioperca","Finland"
"Finland","2007","52192","Euro","Roach - Rutilus rutilus","Finland"
"Finland","2008","34819","Euro","Roach - Rutilus rutilus","Finland"
"Finland","2009","40360","Euro","Roach - Rutilus rutilus","Finland"
"Finland","2010","60927","Euro","Roach - Rutilus rutilus","Finland"
"Finland","2011","120987","Euro","Roach - Rutilus rutilus","Finland"
"Finland","2012","119343","Euro","Roach - Rutilus rutilus","Finland"
"Finland","2013","175762","Euro","Roach - Rutilus rutilus","Finland"
"Finland","2007","326","Tonnes product weight","Roach - Rutilus rutilus","Finland"
"Finland","2008","226","Tonnes product weight","Roach - Rutilus rutilus","Finland"
"Finland","2009","229","Tonnes product weight","Roach - Rutilus rutilus","Finland"
"Finland","2010","227","Tonnes product weight","Roach - Rutilus rutilus","Finland"
"Finland","2011","364","Tonnes product weight","Roach - Rutilus rutilus","Finland"
"Finland","2012","627","Tonnes product weight","Roach - Rutilus rutilus","Finland"
"Finland","2013","527","Tonnes product weight","Roach - Rutilus rutilus","Finland"
"Finland","2007","154629","Euro","Vendace - Coregonus albula","Finland"
"Finland","2008","158788","Euro","Vendace - Coregonus albula","Finland"
"Finland","2009","212604","Euro","Vendace - Coregonus albula","Finland"
"Finland","2010","257558","Euro","Vendace - Coregonus albula","Finland"
"Finland","2011","372283","Euro","Vendace - Coregonus albula","Finland"
"Finland","2012","432725","Euro","Vendace - Coregonus albula","Finland"
"Finland","2013","628853","Euro","Vendace - Coregonus albula","Finland"
"Finland","2007","125","Tonnes product weight","Vendace - Coregonus albula","Finland"
"Finland","2008","107","Tonnes product weight","Vendace - Coregonus albula","Finland"
"Finland","2009","119","Tonnes product weight","Vendace - Coregonus albula","Finland"
"Finland","2010","132","Tonnes product weight","Vendace - Coregonus albula","Finland"
"Finland","2011","158","Tonnes product weight","Vendace - Coregonus albula","Finland"
"Finland","2012","190","Tonnes product weight","Vendace - Coregonus albula","Finland"
"Finland","2013","258","Tonnes product weight","Vendace - Coregonus albula","Finland"
"Finland","2007","10039742","Euro","Atlantic herring - Clupea harengus","Finland"
"Finland","2008","10429600","Euro","Atlantic herring - Clupea harengus","Finland"
"Finland","2009","9265716","Euro","Atlantic herring - Clupea harengus","Finland"
"Finland","2010","9989010","Euro","Atlantic herring - Clupea harengus","Finland"
"Finland","2011","12368982","Euro","Atlantic herring - Clupea harengus","Finland"
"Finland","2012","19321839","Euro","Atlantic herring - Clupea harengus","Finland"
"Finland","2013","23936389","Euro","Atlantic herring - Clupea harengus","Finland"
"Finland","2007","77065","Tonnes product weight","Atlantic herring - Clupea harengus","Finland"
"Finland","2008","73718","Tonnes product weight","Atlantic herring - Clupea harengus","Finland"
"Finland","2009","73461","Tonnes product weight","Atlantic herring - Clupea harengus","Finland"
"Finland","2010","72288","Tonnes product weight","Atlantic herring - Clupea harengus","Finland"
"Finland","2011","66288","Tonnes product weight","Atlantic herring - Clupea harengus","Finland"
"Finland","2012","93755","Tonnes product weight","Atlantic herring - Clupea harengus","Finland"
"Finland","2013","99369","Tonnes product weight","Atlantic herring - Clupea harengus","Finland"
"Finland","2007","17080","Euro","European plaice - Pleuronectes platessa","Finland"
"Finland","2008","20121","Euro","European plaice - Pleuronectes platessa","Finland"
"Finland","2007","8","Tonnes product weight","European plaice - Pleuronectes platessa","Finland"
"Finland","2008","7","Tonnes product weight","European plaice - Pleuronectes platessa","Finland"
"Finland","2007","2249890","Euro","European whitefish - Coregonus lavaretus","Finland"
"Finland","2008","2751375","Euro","European whitefish - Coregonus lavaretus","Finland"
"Finland","2009","2940653","Euro","European whitefish - Coregonus lavaretus","Finland"
"Finland","2010","2898560","Euro","European whitefish - Coregonus lavaretus","Finland"
"Finland","2011","3038645","Euro","European whitefish - Coregonus lavaretus","Finland"
"Finland","2012","2310335","Euro","European whitefish - Coregonus lavaretus","Finland"
"Finland","2013","2935906","Euro","European whitefish - Coregonus lavaretus","Finland"
"Finland","2007","609","Tonnes product weight","European whitefish - Coregonus lavaretus","Finland"
"Finland","2008","619","Tonnes product weight","European whitefish - Coregonus lavaretus","Finland"
"Finland","2009","640","Tonnes product weight","European whitefish - Coregonus lavaretus","Finland"
"Finland","2010","647","Tonnes product weight","European whitefish - Coregonus lavaretus","Finland"
"Finland","2011","681","Tonnes product weight","European whitefish - Coregonus lavaretus","Finland"
"Finland","2012","596","Tonnes product weight","European whitefish - Coregonus lavaretus","Finland"
"Finland","2013","687","Tonnes product weight","European whitefish - Coregonus lavaretus","Finland"
"Finland","2007","701811","Euro","Atlantic salmon - Salmo salar","Finland"
"Finland","2008","934780","Euro","Atlantic salmon - Salmo salar","Finland"
"Finland","2009","1095885","Euro","Atlantic salmon - Salmo salar","Finland"
"Finland","2010","875760","Euro","Atlantic salmon - Salmo salar","Finland"
"Finland","2011","1040049","Euro","Atlantic salmon - Salmo salar","Finland"
"Finland","2012","971250","Euro","Atlantic salmon - Salmo salar","Finland"
"Finland","2013","894921","Euro","Atlantic salmon - Salmo salar","Finland"
"Finland","2007","168","Tonnes product weight","Atlantic salmon - Salmo salar","Finland"
