Species,CommonName,Name,T1,TaxonKey
Rajiformes,"Rays, Stingrays,Mantas, nei ","Rays, Stingrays,Mantas, nei - Rajiformes",NA,300014
Gadiformes,Gadiformes nei,Gadiformes nei - Gadiformes,NA,300044
Perciformes,Pelagic percomorphs nei,Pelagic percomorphs nei - Perciformes,NA,300060
Perciformes,Demersal percomorphs nei,Demersal percomorphs nei - Perciformes,NA,300060
Pleuronectiformes,Flatfishes nei,Flatfishes nei - Pleuronectiformes,NA,300061
Lamnidae,"Mackerel sharks, Porbeagles, nei ","Mackerel sharks, Porbeagles, nei - Lamnidae",NA,400009
Scyliorhinidae,"Catsharks etc, nei ","Catsharks etc, nei - Scyliorhinidae",NA,400010
Carcharhinidae,Requiem sharks nei,Requiem sharks nei - Carcharhinidae,NA,400011
Squalidae,Dogfish sharks nei,Dogfish sharks nei - Squalidae,NA,400013
Squatinidae,"Angelsharks, Sand devils, nei ","Angelsharks, Sand devils, nei - Squatinidae",400015,400015
Rhinobatidae,"Guitarfishes etc, nei ","Guitarfishes etc, nei - Rhinobatidae",NA,400017
Torpedinidae,Electric rays nei,Electric rays nei - Torpedinidae,NA,400018
Rajidae,Rays and skates nei,Rays and skates nei - Rajidae,NA,400019
Dasyatidae,"Stingrays, Butterfly rays, nei ","Stingrays, Butterfly rays, nei - Dasyatidae",NA,400020
Myliobatidae,Eagle rays,Eagle rays - Myliobatidae,NA,400022
Acipenseridae,Sturgeons nei,Sturgeons nei - Acipenseridae,NA,400032
Clupeidae,"Herrings, Sardines, nei ","Herrings, Sardines, nei - Clupeidae",NA,400043
Muraenidae,Morays,Morays - Muraenidae,NA,400056
Congridae,"Conger eels etc, nei ","Conger eels etc, nei - Congridae",NA,400062
Salmonidae,Salmonids nei,Salmonids nei - Salmonidae,NA,400076
Ariidae,Sea catfishes nei,Sea catfishes nei - Ariidae,NA,400145
Synodontidae,Lizardfishes nei,Lizardfishes nei - Synodontidae,NA,400160
Moridae,Moras nei,Moras nei - Moridae,NA,400180
Macrouridae,"Grenadiers,Rattails, nei ","Grenadiers,Rattails, nei - Macrouridae",NA,400185
Lophiidae,Anglerfishes nei,Anglerfishes nei - Lophiidae,400190,400190
Exocoetidae,Flyingfishes nei,Flyingfishes nei - Exocoetidae,NA,400206
Belonidae,"Needlefishes etc, nei ","Needlefishes etc, nei - Belonidae",NA,400207
Scomberesocidae,Sauries nei,Sauries nei - Scomberesocidae,NA,400208
Atherinidae,Silversides(=Sand smelts) nei,Silversides(=Sand smelts) nei - Atherinidae,NA,400218
Trachichthyidae,Slimeheads nei,Slimeheads nei - Trachichthyidae,NA,400236
Berycidae,"Alfonsinos etc, nei ","Alfonsinos etc, nei - Berycidae",400240,400240
Holocentridae,Squirrelfishes nei,Squirrelfishes nei - Holocentridae,NA,400243
Zeidae,Dories nei,Dories nei - Zeidae,NA,400249
Caproidae,Boarfishes nei,Boarfishes nei - Caproidae,NA,400252
Scorpaenidae,Scorpionfishes nei,Scorpionfishes nei - Scorpaenidae,NA,400264
Triglidae,"Gurnards,Searobins nei ","Gurnards,Searobins nei - Triglidae",NA,400266
Serranidae,"Groupers, Seabasses, nei ","Groupers, Seabasses, nei - Serranidae",NA,400289
Priacanthidae,"Bigeyes,Glasseyes,Bulleyes, nei ","Bigeyes,Glasseyes,Bulleyes, nei - Priacanthidae",NA,400303
Apogonidae,"Cardinalfishes etc, nei ","Cardinalfishes etc, nei - Apogonidae",NA,400304
Carangidae,Carangids nei,Carangids nei - Carangidae,NA,400314
Lethrinidae,Emperors(=Scavengers) nei,Emperors(=Scavengers) nei - Lethrinidae,NA,400328
Sparidae,"Porgies, Seabreams, nei ","Porgies, Seabreams, nei - Sparidae",NA,400330
Sciaenidae,"Croakers,Drums, nei ","Croakers,Drums, nei - Sciaenidae",NA,400331
Mullidae,"Goatfishes,Red mullets, nei ","Goatfishes,Red mullets, nei - Mullidae",NA,400332
Kyphosidae,Sea chubs nei,Sea chubs nei - Kyphosidae,NA,400339
Mugilidae,Mullets nei,Mullets nei - Mugilidae,NA,400359
Sphyraenidae,"Barracudas etc, nei ","Barracudas etc, nei - Sphyraenidae",400360,400360
Polynemidae,"Threadfins,Tasselfishes, nei ","Threadfins,Tasselfishes, nei - Polynemidae",NA,400361
Labridae,"Wrasses,Hogfishes, etc, nei ","Wrasses,Hogfishes, etc, nei - Labridae",NA,400362
Trachinidae,Weeverfishes nei,Weeverfishes nei - Trachinidae,NA,400377
Blenniidae,Combtooth blennies,Combtooth blennies - Blenniidae,NA,400392
Gobiidae,Gobies nei,Gobies nei - Gobiidae,NA,400405
Acanthuridae,Surgeonfishes nei,Surgeonfishes nei - Acanthuridae,NA,400412
Gempylidae,"Snake mackerels, Escolars, nei ","Snake mackerels, Escolars, nei - Gempylidae",NA,400414
Trichiuridae,"Hairtails, Scabbardfishes, nei ","Hairtails, Scabbardfishes, nei - Trichiuridae",NA,400415
Scombridae,Mackerels nei,Mackerels nei - Scombridae,NA,400416
Istiophoridae,"Marlins, Sailfishes, etc nei ","Marlins, Sailfishes, etc nei - Istiophoridae",NA,400419
Centrolophidae,"Ruffs, Barrelfishes, nei ","Ruffs, Barrelfishes, nei - Centrolophidae",NA,400421
Stromateidae,"Butterfishes, Pomfrets, nei ","Butterfishes, Pomfrets, nei - Stromateidae",NA,400425
Bothidae,Lefteye flounders nei,Lefteye flounders nei - Bothidae,NA,400439
Pleuronectidae,Righteye flounders nei,Righteye flounders nei - Pleuronectidae,NA,400440
Soleidae,Soles nei,Soles nei - Soleidae,NA,400441
Balistidae,"Triggerfishes, Durgons, nei ","Triggerfishes, Durgons, nei - Balistidae",NA,400445
Tetraodontidae,Puffers nei,Puffers nei - Tetraodontidae,NA,400448
Triakidae,"Houndsharks, Smoothhounds, nei ","Houndsharks, Smoothhounds, nei - Triakidae",NA,400488
Monacanthidae,"Filefishes, leatherjackets nei ","Filefishes, leatherjackets nei - Monacanthidae",NA,400517
Ommastrephidae,Squids nei,Squids nei - Ommastrephidae,NA,490004
Loliginidae,Inshore squids nei,Inshore squids nei - Loliginidae,NA,490010
Octopodidae,"Octopuses etc, nei ","Octopuses etc, nei - Octopodidae",NA,490012
Palaemonidae,Palaemonid shrimps nei,Palaemonid shrimps nei - Palaemonidae,NA,490030
Portunidae,"Swimming crabs etc, nei ","Swimming crabs etc, nei - Portunidae",NA,490031
Lithodidae,"King crabs,Stone crabs, nei ","King crabs,Stone crabs, nei - Lithodidae",NA,490036
Palinuridae,Spiny lobsters nei,Spiny lobsters nei - Palinuridae,NA,490039
Scyllaridae,Slipper lobsters nei,Slipper lobsters nei - Scyllaridae,NA,490040
Aristeidae,Aristeid shrimps nei,Aristeid shrimps nei - Aristeidae,490042,490042
Penaeidae,Penaeid shrimps nei,Penaeid shrimps nei - Penaeidae,NA,490043
Crangonidae,Crangonid shrimps,Crangonid shrimps - Crangonidae,NA,490044
Pandalidae,Pandalid shrimps nei,Pandalid shrimps nei - Pandalidae,NA,490046
Squillidae,Squillids nei,Squillids nei - Squillidae,NA,490052
Mytilidae,Sea mussels nei,Sea mussels nei - Mytilidae,NA,490054
Pectinidae,Scallops nei,Scallops nei - Pectinidae,NA,490055
