"","FishingEntityID","TaxonKey","Year","EndProduct"
"1",4,400145,2011,"Fishmeal and fish oil"
"2",4,400145,2012,"Fishmeal and fish oil"
"3",4,400145,2013,"Fishmeal and fish oil"
"4",4,400145,2014,"Fishmeal and fish oil"
"5",4,400145,2015,"Fishmeal and fish oil"
"6",4,400145,2016,"Fishmeal and fish oil"
"7",4,690403,2011,"Fishmeal and fish oil"
"8",4,690403,2012,"Fishmeal and fish oil"
"9",4,690403,2013,"Fishmeal and fish oil"
"10",4,690403,2014,"Fishmeal and fish oil"
"11",4,690403,2015,"Fishmeal and fish oil"
"12",4,690403,2016,"Fishmeal and fish oil"
"13",4,501163,2011,"Fishmeal and fish oil"
"14",4,501163,2012,"Fishmeal and fish oil"
"15",4,501163,2013,"Fishmeal and fish oil"
"16",4,501163,2014,"Fishmeal and fish oil"
"17",4,501163,2015,"Fishmeal and fish oil"
"18",4,501163,2016,"Fishmeal and fish oil"
"19",4,600400,2011,"Fishmeal and fish oil"
"20",4,600400,2012,"Fishmeal and fish oil"
"21",4,600400,2013,"Fishmeal and fish oil"
"22",4,600400,2014,"Fishmeal and fish oil"
"23",4,600400,2015,"Fishmeal and fish oil"
"24",4,600400,2016,"Fishmeal and fish oil"
"25",4,500467,2011,"Fishmeal and fish oil"
"26",4,500467,2012,"Fishmeal and fish oil"
"27",4,500467,2013,"Fishmeal and fish oil"
"28",4,500467,2014,"Fishmeal and fish oil"
"29",4,290002,2011,"Fishmeal and fish oil"
"30",4,290002,2012,"Fishmeal and fish oil"
"31",4,290002,2013,"Fishmeal and fish oil"
"32",4,290002,2014,"Fishmeal and fish oil"
"33",4,290002,2015,"Fishmeal and fish oil"
"34",4,290002,2016,"Fishmeal and fish oil"
"35",4,200538,2011,"Fishmeal and fish oil"
"36",4,200538,2012,"Fishmeal and fish oil"
"37",4,200538,2013,"Fishmeal and fish oil"
"38",4,200538,2014,"Fishmeal and fish oil"
"39",4,200538,2015,"Fishmeal and fish oil"
"40",4,200538,2016,"Fishmeal and fish oil"
"41",4,500116,2011,"Fishmeal and fish oil"
"42",4,500116,2012,"Fishmeal and fish oil"
"43",4,500116,2013,"Fishmeal and fish oil"
"44",4,500116,2014,"Fishmeal and fish oil"
"45",4,501026,2011,"Fishmeal and fish oil"
"46",4,501026,2012,"Fishmeal and fish oil"
"47",4,501026,2013,"Fishmeal and fish oil"
"48",4,501026,2014,"Fishmeal and fish oil"
"49",4,400020,2011,"Fishmeal and fish oil"
"50",4,400020,2012,"Fishmeal and fish oil"
"51",4,400020,2013,"Fishmeal and fish oil"
"52",4,400020,2014,"Fishmeal and fish oil"
"53",4,400020,2015,"Fishmeal and fish oil"
"54",4,400020,2016,"Fishmeal and fish oil"
"55",4,390013,2011,"Fishmeal and fish oil"
"56",4,390013,2012,"Fishmeal and fish oil"
"57",4,390013,2013,"Fishmeal and fish oil"
"58",4,390013,2014,"Fishmeal and fish oil"
"59",4,500809,2011,"Fishmeal and fish oil"
"60",4,500809,2012,"Fishmeal and fish oil"
"61",4,500809,2013,"Fishmeal and fish oil"
"62",4,500809,2014,"Fishmeal and fish oil"
"63",4,500809,2015,"Fishmeal and fish oil"
"64",4,500809,2016,"Fishmeal and fish oil"
"65",4,600438,2015,"Fishmeal and fish oil"
"66",4,600438,2016,"Fishmeal and fish oil"
"67",4,200004,2011,"Fishmeal and fish oil"
"68",4,200004,2012,"Fishmeal and fish oil"
"69",4,200004,2013,"Fishmeal and fish oil"
"70",4,200004,2014,"Fishmeal and fish oil"
"71",4,500366,2011,"Fishmeal and fish oil"
"72",4,500366,2012,"Fishmeal and fish oil"
"73",4,500366,2013,"Fishmeal and fish oil"
"74",4,500366,2014,"Fishmeal and fish oil"
"75",4,600341,2011,"Fishmeal and fish oil"
"76",4,600341,2012,"Fishmeal and fish oil"
"77",4,600341,2013,"Fishmeal and fish oil"
"78",4,600341,2014,"Fishmeal and fish oil"
"79",4,400327,2011,"Fishmeal and fish oil"
"80",4,400327,2012,"Fishmeal and fish oil"
"81",4,400327,2013,"Fishmeal and fish oil"
"82",4,400327,2014,"Fishmeal and fish oil"
"83",4,400327,2015,"Fishmeal and fish oil"
"84",4,400327,2016,"Fishmeal and fish oil"
"85",4,601625,2011,"Fishmeal and fish oil"
"86",4,601625,2012,"Fishmeal and fish oil"
"87",4,601625,2013,"Fishmeal and fish oil"
"88",4,601625,2016,"Fishmeal and fish oil"
"89",4,600706,2011,"Fishmeal and fish oil"
"90",4,600706,2012,"Fishmeal and fish oil"
"91",4,600706,2013,"Fishmeal and fish oil"
"92",4,600706,2014,"Fishmeal and fish oil"
"93",4,600706,2015,"Fishmeal and fish oil"
"94",4,600706,2016,"Fishmeal and fish oil"
"95",4,100039,2011,"Fishmeal and fish oil"
"96",4,100039,2012,"Fishmeal and fish oil"
"97",4,100039,2013,"Fishmeal and fish oil"
"98",4,100039,2014,"Fishmeal and fish oil"
"99",4,100039,2015,"Fishmeal and fish oil"
"100",4,100039,2016,"Fishmeal and fish oil"
"101",4,601828,2011,"Fishmeal and fish oil"
"102",4,601828,2012,"Fishmeal and fish oil"
"103",4,601828,2013,"Fishmeal and fish oil"
"104",4,601828,2014,"Fishmeal and fish oil"
"105",4,601828,2015,"Fishmeal and fish oil"
"106",4,601828,2016,"Fishmeal and fish oil"
"107",4,100047,2015,"Fishmeal and fish oil"
"108",4,100047,2016,"Fishmeal and fish oil"
