"","FishingEntityID","TaxonKey","Year","EndProduct"
"1",1,600203,2011,"Discards"
"2",1,600203,2012,"Discards"
"3",1,600203,2013,"Discards"
"4",1,600203,2014,"Discards"
"5",1,600203,2015,"Discards"
"6",1,600203,2016,"Discards"
"7",1,600439,2011,"Discards"
"8",1,600439,2012,"Discards"
"9",1,600439,2013,"Discards"
"10",1,600439,2014,"Discards"
"11",1,600439,2015,"Discards"
"12",1,600439,2016,"Discards"
"13",1,590010,2011,"Discards"
"14",1,590010,2012,"Discards"
"15",1,590010,2013,"Discards"
"16",1,590010,2014,"Discards"
"17",1,590010,2015,"Discards"
"18",1,590010,2016,"Discards"
"19",1,100039,2011,"Discards"
"20",1,100039,2012,"Discards"
"21",1,100039,2013,"Discards"
"22",1,100039,2014,"Discards"
"23",1,100039,2015,"Discards"
"24",1,100039,2016,"Discards"
"25",1,690088,2011,"Discards"
"26",1,690088,2012,"Discards"
"27",1,690088,2013,"Discards"
"28",1,690088,2014,"Discards"
"29",1,690088,2015,"Discards"
"30",1,690088,2016,"Discards"
"31",1,600115,2011,"Discards"
"32",1,600115,2012,"Discards"
"33",1,600115,2013,"Discards"
"34",1,600115,2014,"Discards"
"35",1,600115,2015,"Discards"
"36",1,600115,2016,"Discards"
"37",1,601043,2011,"Discards"
"38",1,601043,2012,"Discards"
"39",1,601043,2013,"Discards"
"40",1,601043,2014,"Discards"
"41",1,601043,2015,"Discards"
"42",1,601043,2016,"Discards"
"43",1,500679,2011,"Discards"
"44",1,500679,2012,"Discards"
"45",1,500679,2013,"Discards"
"46",1,500679,2014,"Discards"
"47",1,500679,2015,"Discards"
"48",1,500679,2016,"Discards"
"49",1,600035,2011,"Other"
"50",1,600035,2012,"Other"
"51",1,600035,2013,"Other"
"52",1,600035,2014,"Other"
"53",1,600035,2015,"Other"
"54",1,600035,2016,"Other"
"55",1,600203,2011,"Other"
"56",1,600203,2012,"Other"
"57",1,600203,2013,"Other"
"58",1,600203,2014,"Other"
"59",1,600203,2015,"Other"
"60",1,600203,2016,"Other"
"61",1,600439,2011,"Other"
"62",1,600439,2012,"Other"
"63",1,600439,2013,"Other"
"64",1,600439,2014,"Other"
"65",1,600439,2015,"Other"
"66",1,600439,2016,"Other"
"67",1,590010,2011,"Other"
"68",1,590010,2012,"Other"
"69",1,590010,2013,"Other"
"70",1,590010,2014,"Other"
"71",1,590010,2015,"Other"
"72",1,590010,2016,"Other"
"73",1,690088,2011,"Other"
"74",1,690088,2012,"Other"
"75",1,690088,2013,"Other"
"76",1,690088,2014,"Other"
"77",1,690088,2015,"Other"
"78",1,690088,2016,"Other"
"79",1,600115,2011,"Other"
"80",1,600115,2012,"Other"
"81",1,600115,2013,"Other"
"82",1,600115,2014,"Other"
"83",1,600115,2015,"Other"
"84",1,600115,2016,"Other"
"85",1,601043,2011,"Other"
"86",1,601043,2012,"Other"
"87",1,601043,2013,"Other"
"88",1,601043,2014,"Other"
"89",1,601043,2015,"Other"
"90",1,601043,2016,"Other"
"91",1,500679,2011,"Other"
"92",1,500679,2012,"Other"
"93",1,500679,2013,"Other"
"94",1,500679,2014,"Other"
"95",1,500679,2015,"Other"
"96",1,500679,2016,"Other"
"97",1,600203,2011,"Discards"
"98",1,600203,2012,"Discards"
"99",1,600203,2013,"Discards"
"100",1,600203,2014,"Discards"
"101",1,600203,2015,"Discards"
"102",1,600203,2016,"Discards"
"103",1,600066,2011,"Discards"
"104",1,600066,2012,"Discards"
"105",1,600066,2013,"Discards"
"106",1,600066,2014,"Discards"
"107",1,600066,2015,"Discards"
"108",1,600066,2016,"Discards"
"109",1,590010,2011,"Discards"
"110",1,590010,2012,"Discards"
"111",1,590010,2013,"Discards"
"112",1,590010,2014,"Discards"
"113",1,590010,2015,"Discards"
"114",1,590010,2016,"Discards"
"115",1,100039,2011,"Discards"
"116",1,100039,2012,"Discards"
"117",1,100039,2013,"Discards"
"118",1,100039,2014,"Discards"
"119",1,100039,2015,"Discards"
"120",1,100039,2016,"Discards"
"121",1,400359,2011,"Discards"
"122",1,400359,2012,"Discards"
"123",1,400359,2013,"Discards"
"124",1,400359,2014,"Discards"
"125",1,400359,2015,"Discards"
"126",1,400359,2016,"Discards"
"127",1,690088,2011,"Discards"
"128",1,690088,2012,"Discards"
"129",1,690088,2013,"Discards"
"130",1,690088,2014,"Discards"
"131",1,690088,2015,"Discards"
"132",1,690088,2016,"Discards"
"133",1,690109,2011,"Discards"
"134",1,690109,2012,"Discards"
"135",1,690109,2013,"Discards"
"136",1,690109,2014,"Discards"
"137",1,690109,2015,"Discards"
"138",1,690109,2016,"Discards"
"139",1,601350,2011,"Discards"
"140",1,601350,2012,"Discards"
"141",1,601350,2013,"Discards"
"142",1,601350,2014,"Discards"
"143",1,601350,2015,"Discards"
"144",1,601350,2016,"Discards"
"145",1,690085,2011,"Discards"
"146",1,690085,2012,"Discards"
"147",1,690085,2013,"Discards"
"148",1,690085,2014,"Discards"
"149",1,690085,2015,"Discards"
"150",1,690085,2016,"Discards"
"151",1,500679,2011,"Discards"
"152",1,500679,2012,"Discards"
"153",1,500679,2013,"Discards"
"154",1,500679,2014,"Discards"
"155",1,500679,2015,"Discards"
"156",1,500679,2016,"Discards"
"157",1,600203,2011,"Other"
"158",1,600203,2012,"Other"
"159",1,600203,2013,"Other"
"160",1,600203,2014,"Other"
"161",1,600203,2015,"Other"
"162",1,600203,2016,"Other"
"163",1,600066,2011,"Other"
"164",1,600066,2012,"Other"
"165",1,600066,2013,"Other"
"166",1,600066,2014,"Other"
"167",1,600066,2015,"Other"
"168",1,600066,2016,"Other"
"169",1,590010,2011,"Other"
"170",1,590010,2012,"Other"
"171",1,590010,2013,"Other"
"172",1,590010,2014,"Other"
"173",1,590010,2015,"Other"
"174",1,590010,2016,"Other"
"175",1,100039,2011,"Other"
"176",1,100039,2012,"Other"
"177",1,100039,2013,"Other"
"178",1,100039,2014,"Other"
"179",1,100039,2015,"Other"
"180",1,100039,2016,"Other"
"181",1,400359,2011,"Other"
"182",1,400359,2012,"Other"
"183",1,400359,2013,"Other"
"184",1,400359,2014,"Other"
"185",1,400359,2015,"Other"
"186",1,400359,2016,"Other"
"187",1,690088,2011,"Other"
"188",1,690088,2012,"Other"
"189",1,690088,2013,"Other"
"190",1,690088,2014,"Other"
"191",1,690088,2015,"Other"
"192",1,690088,2016,"Other"
"193",1,690109,2011,"Other"
"194",1,690109,2012,"Other"
"195",1,690109,2013,"Other"
"196",1,690109,2014,"Other"
"197",1,690109,2015,"Other"
"198",1,690109,2016,"Other"
"199",1,601350,2011,"Other"
"200",1,601350,2012,"Other"
"201",1,601350,2013,"Other"
"202",1,601350,2014,"Other"
"203",1,601350,2015,"Other"
"204",1,601350,2016,"Other"
"205",1,690085,2011,"Other"
"206",1,690085,2012,"Other"
"207",1,690085,2013,"Other"
"208",1,690085,2014,"Other"
"209",1,690085,2015,"Other"
"210",1,690085,2016,"Other"
"211",1,500679,2011,"Other"
"212",1,500679,2012,"Other"
"213",1,500679,2013,"Other"
"214",1,500679,2014,"Other"
"215",1,500679,2015,"Other"
"216",1,500679,2016,"Other"
"217",1,600203,2011,"Discards"
"218",1,600203,2012,"Discards"
"219",1,600203,2013,"Discards"
"220",1,600203,2014,"Discards"
"221",1,600203,2015,"Discards"
"222",1,600203,2016,"Discards"
"223",1,600439,2011,"Discards"
"224",1,600439,2012,"Discards"
"225",1,600439,2013,"Discards"
"226",1,600439,2014,"Discards"
"227",1,600439,2015,"Discards"
"228",1,600439,2016,"Discards"
"229",1,590010,2011,"Discards"
"230",1,590010,2012,"Discards"
"231",1,590010,2013,"Discards"
"232",1,590010,2014,"Discards"
"233",1,590010,2015,"Discards"
"234",1,590010,2016,"Discards"
"235",1,100039,2011,"Discards"
"236",1,100039,2012,"Discards"
"237",1,100039,2013,"Discards"
"238",1,100039,2014,"Discards"
"239",1,100039,2015,"Discards"
"240",1,100039,2016,"Discards"
"241",1,690088,2011,"Discards"
"242",1,690088,2012,"Discards"
"243",1,690088,2013,"Discards"
"244",1,690088,2014,"Discards"
"245",1,690088,2015,"Discards"
"246",1,690088,2016,"Discards"
"247",1,600115,2011,"Discards"
"248",1,600115,2012,"Discards"
"249",1,600115,2013,"Discards"
"250",1,600115,2014,"Discards"
"251",1,600115,2015,"Discards"
"252",1,600115,2016,"Discards"
"253",1,601043,2011,"Discards"
"254",1,601043,2012,"Discards"
"255",1,601043,2013,"Discards"
"256",1,601043,2014,"Discards"
"257",1,601043,2015,"Discards"
"258",1,601043,2016,"Discards"
"259",1,500679,2011,"Discards"
"260",1,500679,2012,"Discards"
"261",1,500679,2013,"Discards"
"262",1,500679,2014,"Discards"
"263",1,500679,2015,"Discards"
"264",1,500679,2016,"Discards"
"265",2,300028,2011,"Other"
"266",2,300028,2012,"Other"
"267",2,300028,2013,"Other"
"268",2,300028,2014,"Other"
"269",2,300028,2015,"Other"
"270",2,300028,2016,"Other"
"271",2,600066,2011,"Other"
"272",2,600066,2012,"Other"
"273",2,600066,2013,"Other"
"274",2,600066,2014,"Other"
"275",2,600066,2015,"Other"
"276",2,600066,2016,"Other"
"277",2,590010,2011,"Other"
"278",2,590010,2012,"Other"
"279",2,590010,2013,"Other"
"280",2,590010,2014,"Other"
"281",2,590010,2015,"Other"
"282",2,590010,2016,"Other"
"283",2,501940,2011,"Other"
"284",2,501940,2012,"Other"
"285",2,501940,2013,"Other"
"286",2,501940,2014,"Other"
"287",2,501940,2015,"Other"
"288",2,501940,2016,"Other"
"289",2,300026,2011,"Discards"
"290",2,300026,2012,"Discards"
"291",2,300026,2013,"Discards"
"292",2,300026,2014,"Discards"
"293",2,300026,2015,"Discards"
"294",2,300026,2016,"Discards"
"295",2,500147,2011,"Discards"
"296",2,500147,2012,"Discards"
"297",2,500147,2013,"Discards"
"298",2,500147,2014,"Discards"
"299",2,500147,2015,"Discards"
"300",2,500147,2016,"Discards"
"301",2,600020,2011,"Discards"
"302",2,600020,2012,"Discards"
"303",2,600020,2013,"Discards"
"304",2,600020,2014,"Discards"
"305",2,600020,2015,"Discards"
"306",2,600020,2016,"Discards"
"307",2,690051,2011,"Discards"
"308",2,690051,2012,"Discards"
"309",2,690051,2013,"Discards"
"310",2,690051,2014,"Discards"
"311",2,690051,2015,"Discards"
"312",2,690051,2016,"Discards"
"313",2,600041,2011,"Discards"
"314",2,600041,2012,"Discards"
"315",2,600041,2013,"Discards"
"316",2,600041,2014,"Discards"
"317",2,600041,2015,"Discards"
"318",2,600041,2016,"Discards"
"319",2,600021,2011,"Discards"
"320",2,600021,2012,"Discards"
"321",2,600021,2013,"Discards"
"322",2,600021,2014,"Discards"
"323",2,600021,2015,"Discards"
"324",2,600021,2016,"Discards"
"325",2,600203,2011,"Discards"
"326",2,600203,2012,"Discards"
"327",2,600203,2013,"Discards"
"328",2,600203,2014,"Discards"
"329",2,600203,2015,"Discards"
"330",2,600203,2016,"Discards"
"331",2,400439,2011,"Discards"
"332",2,400439,2012,"Discards"
"333",2,400439,2013,"Discards"
"334",2,400439,2014,"Discards"
"335",2,400439,2015,"Discards"
"336",2,400439,2016,"Discards"
"337",2,600054,2011,"Discards"
"338",2,600054,2012,"Discards"
"339",2,600054,2013,"Discards"
"340",2,600054,2014,"Discards"
"341",2,600054,2015,"Discards"
"342",2,600054,2016,"Discards"
"343",2,490058,2011,"Discards"
"344",2,490058,2012,"Discards"
"345",2,490058,2013,"Discards"
"346",2,490058,2014,"Discards"
"347",2,490058,2015,"Discards"
"348",2,490058,2016,"Discards"
"349",2,600249,2011,"Discards"
"350",2,600249,2012,"Discards"
"351",2,600249,2013,"Discards"
"352",2,600249,2014,"Discards"
"353",2,600249,2015,"Discards"
"354",2,600249,2016,"Discards"
"355",2,600648,2011,"Discards"
"356",2,600648,2012,"Discards"
"357",2,600648,2013,"Discards"
"358",2,600648,2014,"Discards"
"359",2,600648,2015,"Discards"
"360",2,600648,2016,"Discards"
"361",2,290002,2011,"Discards"
"362",2,290002,2012,"Discards"
"363",2,290002,2013,"Discards"
"364",2,290002,2014,"Discards"
"365",2,290002,2015,"Discards"
"366",2,290002,2016,"Discards"
"367",2,600056,2011,"Discards"
"368",2,600056,2012,"Discards"
"369",2,600056,2013,"Discards"
"370",2,600056,2014,"Discards"
"371",2,600056,2015,"Discards"
"372",2,600056,2016,"Discards"
"373",2,600044,2011,"Discards"
"374",2,600044,2012,"Discards"
"375",2,600044,2013,"Discards"
"376",2,600044,2014,"Discards"
"377",2,600044,2015,"Discards"
"378",2,600044,2016,"Discards"
"379",2,601366,2011,"Discards"
"380",2,601366,2012,"Discards"
"381",2,601366,2013,"Discards"
"382",2,601366,2014,"Discards"
"383",2,601366,2015,"Discards"
"384",2,601366,2016,"Discards"
"385",2,602503,2011,"Discards"
"386",2,602503,2012,"Discards"
"387",2,602503,2013,"Discards"
"388",2,602503,2014,"Discards"
"389",2,602503,2015,"Discards"
"390",2,602503,2016,"Discards"
"391",2,400163,2011,"Discards"
"392",2,400163,2012,"Discards"
"393",2,400163,2013,"Discards"
"394",2,400163,2014,"Discards"
"395",2,400163,2015,"Discards"
"396",2,400163,2016,"Discards"
"397",2,604943,2011,"Discards"
"398",2,604943,2012,"Discards"
"399",2,604943,2013,"Discards"
"400",2,604943,2014,"Discards"
"401",2,604943,2015,"Discards"
"402",2,604943,2016,"Discards"
"403",2,600301,2011,"Discards"
"404",2,600301,2012,"Discards"
"405",2,600301,2013,"Discards"
"406",2,600301,2014,"Discards"
"407",2,600301,2015,"Discards"
"408",2,600301,2016,"Discards"
"409",2,400062,2011,"Discards"
"410",2,400062,2012,"Discards"
"411",2,400062,2013,"Discards"
"412",2,400062,2014,"Discards"
"413",2,400062,2015,"Discards"
"414",2,400062,2016,"Discards"
"415",2,600669,2011,"Discards"
"416",2,600669,2012,"Discards"
"417",2,600669,2013,"Discards"
