Country,Year,CNumber.x,Landings,LandedValue,ObservedPrice,TaxonKey,ISSCAAP,OrdCode,FamCode,GenCode,SpeCode,TargetCode,Used,OldVersionData,nom,CNumber.y,FishingEntityID,FishingEntityName
Australia,2006,36,1509.597534,10219890.01,6769.943498,500357,33,60,323,357,NA,17,TRUE,NA,17943,36,7,Australia
Australia,2002,36,1115,3243000,2908.520179,600029,32,44,183,9296,29,14,TRUE,NA,17579,36,7,Australia
Australia,1988,36,NA,NA,2236.879883,400416,36,60,416,NA,NA,3,TRUE,TRUE,39646,36,7,Australia
Australia,2004,36,2008.114014,17219639.92,8575.030999,600143,36,60,416,1905,143,3,TRUE,NA,17780,36,7,Australia
Australia,2008,36,1043.615479,7752179.932,7428.195622,600033,32,44,505,1096,33,6,TRUE,NA,18152,36,7,Australia
Australia,2005,36,143,538000,3762.237762,607317,33,59,577,1595,7317,4,TRUE,NA,17902,36,7,Australia
Australia,2002,36,225,556000,2471.111111,490011,57,90006,90011,NA,NA,25,TRUE,NA,17555,36,7,Australia
Australia,2000,36,629,6438000,10235.29412,608489,33,60,307,2844,8489,5,TRUE,NA,17423,36,7,Australia
Australia,2005,36,469,5633000,12010.66098,608489,33,60,307,2844,8489,5,TRUE,NA,17905,36,7,Australia
Australia,2000,36,17,26000,1529.411765,604722,38,3,24,9521,4722,22,TRUE,NA,17416,36,7,Australia
Australia,2003,36,8194,23185000,2829.509397,490055,55,90008,90055,NA,NA,29,TRUE,NA,17652,36,7,Australia
Australia,2008,36,259,3121000,12050.19305,509404,33,60,330,9404,NA,5,TRUE,NA,18143,36,7,Australia
Australia,2008,36,193.6040955,691150.0244,3569.914276,501135,33,59,573,1135,NA,5,TRUE,NA,18138,36,7,Australia
Australia,2006,36,66.33959961,232179.9927,3499.870275,614415,39,60,355,1523,14415,6,TRUE,NA,18011,36,7,Australia
Australia,2006,36,21.4005909,101300.0031,4733.514302,614416,34,60,356,3008,14416,5,TRUE,NA,18012,36,7,Australia
Australia,2006,36,64,226000,3531.25,500504,33,60,287,504,NA,5,TRUE,NA,17945,36,7,Australia
Australia,2006,36,1708.094482,4782650.017,2799.991492,500891,33,60,307,891,NA,4,TRUE,NA,17948,36,7,Australia
Australia,2004,36,150.1990356,450589.9963,2999.952659,600364,34,60,311,499,364,3,TRUE,NA,17786,36,7,Australia
Australia,2008,36,57,774000,13578.94737,600035,22,26,49,9279,NA,6,TRUE,NA,18153,36,7,Australia
Australia,2000,36,239,705000,2949.790795,603255,34,55,249,2995,3255,11,TRUE,NA,17413,36,7,Australia
Australia,2002,36,17782,48788000,2743.673378,100039,39,NA,NA,NA,NA,4,TRUE,NA,17541,36,7,Australia
