"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1999","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","France","4,163,115",""
"1999","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","France","6,155",""
"1999","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","France","676",""
"1999","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Crustaceans","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","King crabs, squat-lobsters","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","King crabs, squat-lobsters","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","King crabs, squat-lobsters","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Shrimps, prawns","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Molluscs","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Molluscs","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Molluscs","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Oysters","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Oysters","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Oysters","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Mussels","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Mussels","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Mussels","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Scallops, pectens","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Scallops, pectens","All presentation forms","Human consumption","Tonnes product weight","France","13,495",""
"1999","Total","Scallops, pectens","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Euro","France","55,036",""
"1999","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Euro/Tonne","France","500",""
"1999","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Aquatic mammals","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Aquatic mammals","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Aquatic mammals","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Blue-whales, fin-whales","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Blue-whales, fin-whales","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Blue-whales, fin-whales","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Eared seals, hair seals, walruses","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Eared seals, hair seals, walruses","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Eared seals, hair seals, walruses","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Miscellaneous aquatic mammals","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Miscellaneous aquatic mammals","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Miscellaneous aquatic mammals","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Miscellaneous aquatic animals","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Miscellaneous aquatic animals","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Miscellaneous aquatic animals","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Sea-squirts and other tunicates","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Sea-squirts and other tunicates","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Sea-squirts and other tunicates","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Sea-urchins and other echinoderms","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Sea-urchins and other echinoderms","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Sea-urchins and other echinoderms","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Miscellaneous aquatic invertabrates","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Miscellaneous aquatic invertabrates","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Miscellaneous aquatic invertabrates","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Miscellaneous aquatic animal products","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Miscellaneous aquatic animal products","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Miscellaneous aquatic animal products","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Corals","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Corals","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Corals","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Aquatic plants","All presentation forms","Human consumption","Euro","France",":",""
