"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Scallops, pectens","All presentation forms","Human consumption","Euro","Belgium","187,613",""
"1992","Total","Scallops, pectens","All presentation forms","Human consumption","Tonnes product weight","Belgium","91",""
"1992","Total","Scallops, pectens","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,071",""
"1992","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
"1992","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Euro/Tonne","Belgium",":",""
"1992","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Euro","Belgium","260,537",""
"1992","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Tonnes product weight","Belgium","275",""
"1992","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Euro/Tonne","Belgium","947",""
"1992","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Euro","Belgium","179,891",""
"1992","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Tonnes product weight","Belgium","300",""
"1992","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Euro/Tonne","Belgium","600",""
"1992","Total","Anglerfishes nei - Lophiidae","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","Anglerfishes nei - Lophiidae","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
"1992","Total","Anglerfishes nei - Lophiidae","All presentation forms","Human consumption","Euro/Tonne","Belgium",":",""
"1992","Total","Pouting (=Bib) - Trisopterus luscus","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","Pouting (=Bib) - Trisopterus luscus","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
"1992","Total","Pouting (=Bib) - Trisopterus luscus","All presentation forms","Human consumption","Euro/Tonne","Belgium",":",""
"1992","Total","Brill - Scophthalmus rhombus","All presentation forms","Human consumption","Euro","Belgium","1,585,422",""
"1992","Total","Brill - Scophthalmus rhombus","All presentation forms","Human consumption","Tonnes product weight","Belgium","309",""
"1992","Total","Brill - Scophthalmus rhombus","All presentation forms","Human consumption","Euro/Tonne","Belgium","5,131",""
"1992","Total","European seabass - Dicentrarchus labrax","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","European seabass - Dicentrarchus labrax","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
"1992","Total","European seabass - Dicentrarchus labrax","All presentation forms","Human consumption","Euro/Tonne","Belgium",":",""
"1992","Total","Atlantic wolffish - Anarhichas lupus","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","Atlantic wolffish - Anarhichas lupus","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
"1992","Total","Atlantic wolffish - Anarhichas lupus","All presentation forms","Human consumption","Euro/Tonne","Belgium",":",""
"1992","Total","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro","Belgium","4,269,707",""
"1992","Total","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Tonnes product weight","Belgium","2,442",""
"1992","Total","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro/Tonne","Belgium","1,748",""
"1992","Total","Conger eels nei - Conger spp","All presentation forms","Human consumption","Euro","Belgium","43,110",""
"1992","Total","Conger eels nei - Conger spp","All presentation forms","Human consumption","Tonnes product weight","Belgium","40",""
"1992","Total","Conger eels nei - Conger spp","All presentation forms","Human consumption","Euro/Tonne","Belgium","1,083",""
"1992","Total","Clams etc, nei - Bivalvia","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","Clams etc, nei - Bivalvia","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
"1992","Total","Clams etc, nei - Bivalvia","All presentation forms","Human consumption","Euro/Tonne","Belgium",":",""
"1992","Total","Crangon shrimps nei - Crangon spp","All presentation forms","Human consumption","Euro","Belgium","1,775,394",""
"1992","Total","Crangon shrimps nei - Crangon spp","All presentation forms","Human consumption","Tonnes product weight","Belgium","580",""
"1992","Total","Crangon shrimps nei - Crangon spp","All presentation forms","Human consumption","Euro/Tonne","Belgium","3,063",""
"1992","Total","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
